,DBN,schoolyear,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,StartingYear,EndingYear
764,07X427,20062007,NA,367,4.1,11.7,0.3,36.5,61,0.5,44.7,2006,2007
765,07X427,20072008,NA,360,7.8,16.1,0.3,35.8,61.7,1.1,42.2,2007,2008
766,07X427,20082009,NA,347,6.9,17.6,0,40.1,57.3,1.4,41.5,2008,2009
767,07X427,20092010,92.2,343,8.7,20.1,0.3,37.9,59.5,1.2,41.4,2009,2010
768,07X427,20102011,94.4,332,11.7,19.9,0.3,36.1,62.7,0.9,43.7,2010,2011
769,07X427,20112012,82.7,319,13.2,19.7,0.6,32.3,65.5,0.9,49.2,2011,2012
770,07X473,20052006,NA,345,8.1,15.1,0,35.7,62.3,0,50.1,2005,2006
771,07X473,20062007,NA,331,7.3,16.3,0.6,32.6,66.5,0,51.4,2006,2007
772,07X473,20072008,NA,332,12,16,0.3,30.7,69,0,51.5,2007,2008
773,07X473,20082009,NA,333,9.6,16.8,0.9,26.4,72.4,0,51.4,2008,2009
774,07X473,20092010,75.8,344,11.3,19.2,1.5,26.2,71.8,0,51.2,2009,2010
775,07X473,20102011,82.6,362,11,20.2,0.8,25.4,73.2,0,51.9,2010,2011
776,07X473,20112012,78.5,363,9.6,18.5,1.1,22.6,76,0,50.1,2011,2012
777,07X495,20052006,NA,422,9.2,10.2,0.9,28.9,67.8,1.2,47.2,2005,2006
778,07X495,20062007,NA,440,5.7,10.2,0.2,25.7,72.5,0.5,47.5,2006,2007
779,07X495,20072008,NA,425,5.2,6.4,0.7,25.4,71.8,0.9,42.6,2007,2008
780,07X495,20082009,NA,432,3.9,7.6,1.2,21.8,75.7,1.2,42.6,2008,2009
781,07X495,20092010,91.4,450,6,7.6,1.3,17.6,78.9,2,40.4,2009,2010
782,07X495,20102011,93.8,440,5.7,5.7,1.4,13.6,82.5,1.1,43,2010,2011
783,07X495,20112012,90.1,465,3.7,5.2,2.6,18.1,78.1,1.3,43.2,2011,2012
784,07X500,20052006,NA,525,6.3,7.8,4.2,19.8,74.5,0.6,39.4,2005,2006
785,07X500,20062007,NA,534,4.5,8.1,3.7,22.8,72.5,0.2,39.3,2006,2007
786,07X500,20072008,NA,504,5.4,10.3,2.4,22.8,74.4,0.2,41.9,2007,2008
787,07X500,20082009,NA,517,5.8,12.8,2.5,27.3,69.8,0.4,43.9,2008,2009
788,07X500,20092010,67.2,560,6.4,15.2,1.8,26.4,70.9,0.9,44.3,2009,2010
789,07X500,20102011,76.2,600,6.2,12.2,1.8,25,72,0.7,44.5,2010,2011
790,07X500,20112012,68.3,538,5.6,11.9,2,24,72.7,0.7,45.2,2011,2012
791,07X520,20052006,NA,420,10.7,12.1,2.1,23.3,70.5,2.1,41.9,2005,2006
792,07X520,20062007,NA,470,6,14.3,1.9,22.6,71.7,1.1,43.6,2006,2007
793,07X520,20072008,NA,481,10.6,14.3,2.7,22.2,73.6,1,44.1,2007,2008
794,07X520,20082009,NA,491,10.4,17.1,2.4,23.2,72.3,1.2,44.2,2008,2009
795,07X520,20092010,92.4,457,14.2,17.7,2.8,22.8,72.2,1.3,45.3,2009,2010
796,07X520,20102011,93.8,394,17.3,21.1,2.8,26.1,69.5,0.8,45.2,2010,2011
797,07X520,20112012,89.9,311,21.9,22.5,3.2,26,68.8,1,45.3,2011,2012
798,07X522,20112012,60,138,20.3,19.6,2.2,29.7,67.4,0,84.8,2011,2012
799,07X527,20052006,NA,361,5.8,11.4,1.7,47.1,42.1,1.1,43.5,2005,2006
800,07X527,20062007,NA,402,5.7,11.7,0.7,41.8,46,1.5,46,2006,2007
801,07X527,20072008,NA,437,9.6,15.1,1.6,39.6,50.8,1.4,48.3,2007,2008
802,07X527,20082009,NA,453,11,17.9,1.1,37.7,58.9,0.9,51,2008,2009
803,07X527,20092010,68.2,446,12.3,19.3,1.1,38.6,59.9,0,51.3,2009,2010
804,07X527,20102011,68.2,480,13.3,20.4,0.8,40.4,57.9,0.4,52.3,2010,2011
805,07X527,20112012,77,502,14.1,18.5,1.4,41.2,56,1,54,2011,2012
806,07X547,20052006,NA,336,5.1,15.2,0.3,35.4,63.1,0.9,56.8,2005,2006
807,07X547,20062007,NA,326,2.5,15.3,0.9,37.1,59.5,1.5,58.6,2006,2007
808,07X547,20072008,NA,334,6,15.6,0.9,38,59.3,1.2,59,2007,2008
809,07X547,20082009,NA,320,5.6,16.3,0,36.3,62.8,0.6,60.9,2008,2009
810,07X547,20092010,91,310,11.6,20,0.3,35.5,63.2,0.3,60.6,2009,2010
811,07X547,20102011,93.2,342,14.6,20.5,0.3,28.9,69.6,0.3,55.3,2010,2011
812,07X547,20112012,90.4,383,15.7,25.1,0.5,30.3,68.1,0.5,57.7,2011,2012
813,07X548,20052006,NA,309,2.6,8.4,0,33,66,0.6,69.9,2005,2006
814,07X548,20062007,NA,322,1.2,9.3,0.6,31.7,66.1,1.2,78.3,2006,2007
815,07X548,20072008,NA,326,2.5,11.3,0.6,30.7,68.1,0.3,82.8,2007,2008
816,07X548,20082009,NA,324,4,12.7,0.9,28.7,69.1,0.3,84.3,2008,2009
817,07X548,20092010,82.1,341,6.2,15.5,1.2,29,69.8,0,83.6,2009,2010
818,07X548,20102011,83,424,5.2,19.3,0.7,23.6,71.7,0,83.5,2010,2011
819,07X548,20112012,74.3,477,5,18.7,0.4,26.6,70.4,0.4,84.3,2011,2012
820,07X551,20052006,NA,229,6.1,6.1,3.5,38.9,51.5,3.1,34.5,2005,2006
821,07X551,20062007,NA,314,6.4,10.2,2.5,37.3,58.9,0.3,34.7,2006,2007
822,07X551,20072008,NA,435,8.3,12.6,1.8,35.9,59.8,0.7,37.5,2007,2008
823,07X551,20082009,NA,502,8.8,18.1,1.8,36.9,60.4,0.6,38.8,2008,2009
824,07X551,20092010,89.2,581,10.2,20.3,1.2,34.9,63.3,0.3,42.5,2009,2010
825,07X551,20102011,86.9,571,10,19.6,1.1,33.8,64.8,0.2,41.5,2010,2011
826,07X551,20112012,79.1,555,9.4,24,0.5,34.1,64.3,0.9,44.5,2011,2012
827,07X600,20052006,NA,1285,7.2,18.3,1.9,32.6,63.5,1,85.6,2005,2006
828,07X600,20062007,NA,1258,7.5,19.2,2.1,32.8,63.3,0.9,86.1,2006,2007
829,07X600,20072008,NA,1189,11,18.6,2.3,33.8,63,0.4,87.6,2007,2008
830,07X600,20082009,NA,1176,9.3,18.5,2.6,34,62.5,0.5,89.2,2008,2009
831,07X600,20092010,71.7,1096,10.1,17.9,1.9,35.5,61.1,0.6,91,2009,2010
832,07X600,20102011,88.8,947,9.8,21.3,1.3,37,60.7,0.6,92,2010,2011
833,07X600,20112012,76.7,738,9.1,22,1.4,35.9,61.5,0.7,92.7,2011,2012
834,07X655,20052006,NA,1533,13.5,17,1.5,29.3,67,0.6,77,2005,2006
835,07X655,20062007,NA,1537,9.8,18.9,1.5,29,68.1,0.6,74.8,2006,2007
836,07X655,20072008,NA,1488,15.2,19,1.4,28.3,68.3,0.9,76.1,2007,2008
837,07X655,20082009,NA,1300,14.8,20.8,1.3,28.4,68.6,0.8,77.2,2008,2009
838,07X655,20092010,83.5,1097,15.5,18.7,1.5,28,69,0.6,77.8,2009,2010
839,07X655,20102011,83.5,826,16.1,25.7,1.3,30.1,67.1,0.6,77.5,2010,2011
840,07X655,20112012,75.7,663,17,26.1,1.2,32.4,64.9,0.8,79.6,2011,2012
841,07X670,20052006,NA,593,4.6,10.8,1.2,39.5,56,1.5,26.6,2005,2006
842,07X670,20062007,NA,586,4.1,10.8,1.4,40.3,54.6,1.2,26.5,2006,2007
843,07X670,20072008,NA,624,6.9,12.5,1.6,37.5,59.8,1.1,27.6,2007,2008
844,07X670,20082009,NA,641,6.4,13.9,2,36.7,60.8,0.5,28.9,2008,2009
845,07X670,20092010,89.9,616,7.3,11.9,2.3,34.9,61.4,0.2,28.2,2009,2010
846,07X670,20102011,89.1,608,8.6,15.6,2.3,37,60.5,0,27,2010,2011
847,07X670,20112012,77.8,587,10.4,19.6,3.1,39.2,56.9,0.5,28.6,2011,2012
848,08X123,20052006,NA,751,16.2,13.8,1.2,31.6,66.4,0.4,49.5,2005,2006
849,08X192,20062007,NA,974,5,23.8,4.3,19.7,57.3,18.3,52.6,2006,2007
850,08X192,20082009,NA,339,4.7,24.5,5,17.1,60.8,16.2,49,2008,2009
851,08X269,20092010,94.7,306,13.7,21.2,1.6,22.9,73.9,1,47.1,2009,2010
852,08X269,20102011,94.7,394,10.7,20.1,1.3,22.1,74.6,1,42.6,2010,2011
853,08X269,20112012,85.6,500,9.2,13.4,1.2,22.4,74.8,1,44,2011,2012
854,08X282,20062007,NA,243,2.1,7,2.5,53.9,40.7,0.4,0.4,2006,2007
855,08X282,20072008,NA,295,1,6.1,1.7,50.5,45.8,0.7,0.3,2007,2008
856,08X282,20082009,NA,282,2.8,7.1,1.8,53.5,41.1,1.4,0,2008,2009
857,08X282,20092010,53.7,306,4.2,8.5,2.3,50,42.8,2.3,0,2009,2010
858,08X282,20102011,79.5,308,3.9,11.7,2.6,44.2,49.4,3.2,0.6,2010,2011
859,08X282,20112012,72.2,379,2.6,15.6,2.9,45.9,46.4,2.4,0.3,2011,2012
860,08X293,20052006,NA,270,2.2,6.3,2.6,34.4,53.7,5.2,28.5,2005,2006
861,08X293,20062007,NA,370,3.5,11.9,1.9,32.2,58.4,4.9,32.2,2006,2007
862,08X293,20072008,NA,432,6,12.5,1.6,34.7,60.2,3,32.4,2007,2008
863,08X293,20082009,NA,442,2.5,16.1,2.3,33,61.1,2.3,35.7,2008,2009
864,08X293,20092010,80.7,459,3.9,18.5,2.4,32.5,59.9,4.6,40.3,2009,2010
865,08X293,20102011,78.2,459,2.4,19,3.3,29.4,60.8,6.1,38.8,2010,2011
866,08X293,20112012,66.4,469,4.5,21.7,2.6,25.4,63.8,7.7,38,2011,2012
867,08X295,20052006,NA,268,11.2,9,5.6,35.8,54.9,1.9,61.2,2005,2006
868,08X295,20062007,NA,372,10.5,12.9,6.5,32.3,58.6,1.1,63.4,2006,2007
869,08X295,20072008,NA,414,12.6,15.2,5.8,35,56.8,1.4,67.4,2007,2008
870,08X295,20082009,NA,474,12,16,4.9,36.7,57.6,0.8,63.3,2008,2009
871,08X295,20092010,83.2,506,13.6,21.3,4.3,33.4,60.3,1,61.5,2009,2010
872,08X295,20102011,81.8,510,12.9,22.5,5.7,34.3,57.5,1.6,63.7,2010,2011
873,08X295,20112012,74.6,478,11.5,24.1,5.6,33.1,59.4,1,60,2011,2012
874,08X305,20052006,NA,274,13.5,16.1,1.1,28.8,67.9,0.7,71.9,2005,2006
875,08X305,20062007,NA,357,13.2,12.3,2,26.1,71.4,0,69.2,2006,2007
876,08X305,20072008,NA,387,15.5,18.3,1.3,25.8,71.6,0.5,68,2007,2008
877,08X305,20082009,NA,380,18.9,22.1,1.3,26.1,71.8,0.5,63.4,2008,2009
878,08X305,20092010,85.8,392,17.3,21.9,1.3,25.8,70.9,1.3,63.5,2009,2010
879,08X305,20102011,83,365,14.5,25.5,3,26.6,68.5,1.1,65.2,2010,2011
880,08X305,20112012,75.8,359,15.9,27.3,2.5,26.2,69.9,1.4,66,2011,2012
881,08X312,20052006,NA,266,4.9,12.4,2.3,42.1,50.4,3,56.4,2005,2006
882,08X312,20062007,NA,356,5.6,13.2,2,39,53.9,2.8,57,2006,2007
883,08X312,20072008,NA,418,8.1,17.2,2.6,37.3,57.7,2.2,57.7,2007,2008
884,08X312,20082009,NA,487,6.4,16.6,1,36.8,60.4,1.8,55.4,2008,2009
885,08X312,20092010,88.4,502,7.4,16.3,1,33.7,62.7,2,53.8,2009,2010
886,08X312,20102011,83.9,499,5.2,20.2,1.8,33.1,63.9,1,51.5,2010,2011
887,08X312,20112012,74.2,496,5.4,20.4,1.8,32.5,64.3,1,49.2,2011,2012
888,08X332,20062007,NA,108,13,12,0.9,36.1,60.2,0.9,49.1,2006,2007
889,08X332,20072008,NA,211,12.3,8.5,1.4,39.3,56.9,0.9,52.6,2007,2008
890,08X332,20082009,NA,292,10.3,12,1.4,42.1,55.1,0.7,49,2008,2009
891,08X332,20092010,86.8,347,12.1,13.5,0.9,39.2,58.2,0.6,48.1,2009,2010
892,08X332,20102011,97.3,327,11.9,15.3,1.8,41,54.4,0.6,48,2010,2011
893,08X332,20112012,79.6,333,12.6,18,0.9,39.9,56.8,0.6,49.2,2011,2012
894,08X367,20102011,80.5,404,4,22,2,32.9,63.9,0.7,58.4,2010,2011
895,08X367,20112012,87.3,500,2.6,22,2.8,35,60.2,2,62,2011,2012
896,08X376,20102011,90.1,368,9,25,4.1,29.1,65.8,0.5,46.2,2010,2011
897,08X376,20112012,81.3,432,7.4,24.1,4.9,27.8,66,0.7,47,2011,2012
898,08X377,20072008,NA,105,2.9,7.6,0,45.7,53.3,1,36.2,2007,2008
899,08X377,20082009,NA,203,3,11.3,0,35.5,63.5,1,38.9,2008,2009
900,08X377,20092010,79.6,190,3.7,9.5,0,35.3,63.2,1.6,36.3,2009,2010
901,08X377,20102011,76.6,191,5.2,8.9,1,29.8,66.5,1,49.2,2010,2011
902,08X377,20112012,73.9,200,4.5,5,1,33,63.5,1,50.5,2011,2012
903,08X405,20052006,NA,4120,7.1,14.7,6.2,22.4,54.2,14,55.5,2005,2006
904,08X405,20062007,NA,4288,6.1,14.5,6.1,23.4,55.5,11.8,56.9,2006,2007
905,08X405,20072008,NA,4303,8.6,14.4,6,22.6,57.8,10.4,58.3,2007,2008
906,08X405,20082009,NA,4089,7.6,15.7,5.9,22.7,60.7,9.7,59.8,2008,2009
907,08X405,20092010,80.7,4115,8.8,16.6,6,22.5,60.9,9.2,59.1,2009,2010
908,08X405,20102011,80.7,3925,9.7,18.7,6.8,22.5,61.3,8.8,58.9,2010,2011
909,08X405,20112012,66.8,3593,9.2,20.9,6.8,23,60.6,9,61.1,2011,2012
910,08X432,20102011,60,78,78.2,9,2.6,10.3,87.2,0,46.2,2010,2011
911,08X432,20112012,87.2,155,79.4,7.7,5.2,8.4,83.2,2.6,52.3,2011,2012
912,08X450,20052006,NA,2565,12.7,19.1,2.2,34.7,61.2,1,49.7,2005,2006
913,08X450,20062007,NA,1502,13,18.9,2.4,34,61.3,1.1,50,2006,2007
914,08X450,20072008,NA,757,23.6,21.7,2,30.9,65.4,1.6,50.3,2007,2008
915,08X450,20082009,NA,292,21.9,20.9,2.7,32.9,62,2.1,49.7,2008,2009
916,08X452,20052006,NA,306,7.5,15,1.3,43.1,52.3,1.6,47.4,2005,2006
917,08X452,20062007,NA,300,5.7,17,2,44,51.3,1.7,50,2006,2007
918,08X452,20072008,NA,308,10.4,18.8,2.6,38.3,56.8,1.9,47.4,2007,2008
919,08X452,20082009,NA,305,8.2,20.7,3.6,35.7,59.7,0.7,43.9,2008,2009
920,08X452,20092010,83.7,320,8.8,20.6,4.1,35.6,59.1,0.6,44.4,2009,2010
921,08X452,20102011,83.7,322,7.5,21.4,3.1,36,59.9,0.6,48.1,2010,2011
922,08X452,20112012,69.2,305,7.2,23,3.9,33.8,61.3,0.7,49.5,2011,2012
923,08X519,20052006,NA,229,13.1,8.3,0.4,35.4,61.6,0.4,38,2005,2006
924,08X519,20062007,NA,331,8.5,13.6,0.3,30.2,65.3,1.2,36.6,2006,2007
925,08X519,20072008,NA,411,10,12.9,1,30.2,67.4,0.7,40.9,2007,2008
926,08X519,20082009,NA,410,11.7,15.6,1.7,24.1,72,1.2,39.3,2008,2009
927,08X519,20092010,72.9,403,12.9,14.9,1.7,21.3,75.2,0.7,41.4,2009,2010
928,08X519,20102011,77.4,375,14.9,18.9,1.6,22.4,74.7,0.8,41.3,2010,2011
929,08X519,20112012,72.3,363,14,20.9,1.4,21.8,76,0.6,43,2011,2012
930,08X530,20052006,NA,291,13.7,12,0,28.9,68.4,1.7,47.4,2005,2006
931,08X530,20062007,NA,354,11.6,14.4,0.8,29.1,69.2,0.6,43.5,2006,2007
932,08X530,20072008,NA,407,12.5,15,1.5,30.5,66.8,0.5,43.7,2007,2008
933,08X530,20082009,NA,465,13.3,16.6,1.9,31,65.6,0.6,43,2008,2009
934,08X530,20092010,91.7,464,14.9,17.5,1.7,30.8,65.3,0.6,45,2009,2010
935,08X530,20102011,91.7,448,16.1,20.8,1.8,27.5,69.6,0.7,47.8,2010,2011
936,08X530,20112012,81.9,451,13.5,25.7,0.7,32.6,65.4,1.1,49.9,2011,2012
937,08X540,20052006,NA,288,9.4,15.6,1,36.8,58.7,1.4,52.1,2005,2006
938,08X540,20062007,NA,367,7.6,19.6,1.4,39.8,56.1,1.1,51,2006,2007
939,08X540,20072008,NA,392,12,20.2,1.8,37.2,58.2,1.5,50,2007,2008
940,08X540,20082009,NA,375,13.6,22.1,2.4,33.1,63.5,0.8,48.8,2008,2009
941,08X540,20092010,94,384,14.1,23.7,3.1,29.9,65.1,1.3,51,2009,2010
942,08X540,20102011,90.5,314,11.1,25.2,4.8,31.5,62.4,0.6,51.6,2010,2011
943,08X540,20112012,83.8,191,11,28.3,4.7,28.8,64.9,1,57.1,2011,2012
944,08X650,20052006,NA,1753,7.9,16.5,1.3,35.1,62.1,0.6,35.8,2005,2006
945,08X650,20062007,NA,1808,6.6,17,1.4,35.1,61.6,0.6,33.4,2006,2007
946,08X650,20072008,NA,1712,10.8,17.6,1.5,33.2,63.3,0.5,32.1,2007,2008
947,08X650,20082009,NA,1487,10,17.2,1.5,33.8,63.1,0.6,30.2,2008,2009
948,08X650,20092010,89.2,1274,10.8,17.7,1.7,35.7,61.1,0.4,29.4,2009,2010
949,08X650,20102011,88.2,1004,10.5,18.2,1.7,37.1,60.7,0.3,28.9,2010,2011
950,08X650,20112012,85.7,717,11.2,22.2,1.5,36.8,60.8,0.3,28.3,2011,2012
951,08X686,20052006,NA,475,7.8,23.8,1.1,38.3,57.7,1.1,54.5,2005,2006
952,08X686,20062007,NA,300,6.3,20.7,0.7,37,60.3,0,52.7,2006,2007
953,08X686,20072008,NA,157,12.7,19.1,1.3,37.6,58.6,0,47.1,2007,2008
954,08X686,20082009,NA,80,8.8,18.8,2.5,42.5,55,0,57.5,2008,2009
955,09X227,20052006,NA,213,13.6,15,0.9,31,64.8,0.9,45.5,2005,2006
956,09X227,20062007,NA,315,12.1,11.1,0.6,34.6,61.9,1.3,49.5,2006,2007
957,09X227,20072008,NA,405,20.7,16.3,1.2,32.6,63,1.5,50.4,2007,2008
958,09X227,20082009,NA,411,21.2,17.3,0.2,32.8,64.2,1.2,50.4,2008,2009
959,09X227,20092010,97.7,391,24.8,18.2,0.5,32.7,63.7,1.5,51.2,2009,2010
960,09X227,20102011,88.9,360,26.7,19.2,1.1,27.8,69.2,1.1,50.6,2010,2011
961,09X227,20112012,83.9,355,29.3,21.1,1.1,27.9,69.3,0.8,50.1,2011,2012
962,09X229,20062007,NA,404,12.9,20.3,0.2,53.7,43.3,2.2,56.7,2006,2007
963,09X231,20052006,NA,191,3.7,3.1,0,55.5,33,3.1,100,2005,2006
964,09X231,20062007,NA,269,3,10.4,0.7,56.9,30.1,1.5,100,2006,2007
965,09X231,20072008,NA,401,3.2,11.2,0.5,56.9,32.2,1.2,100,2007,2008
966,09X231,20082009,NA,422,3.1,14.7,1.2,65.2,32.5,0.9,100,2008,2009
967,09X231,20092010,71.1,449,3.1,20.3,1.6,62.8,33.4,0.2,100,2009,2010
968,09X231,20102011,71.1,454,5.3,22.2,0.9,63.7,32.2,0.9,100,2010,2011
969,09X231,20112012,60.4,550,4,24.2,0.7,63.1,33.8,0.5,100,2011,2012
970,09X239,20052006,NA,163,6.1,14.7,0,60.7,35.6,1.8,100,2005,2006
971,09X239,20062007,NA,249,7.2,13.7,0,55.8,40.2,1.6,100,2006,2007
972,09X239,20072008,NA,323,9.3,19.2,0,52,44.6,1.5,99.7,2007,2008
973,09X239,20082009,NA,309,11.3,19.1,0,52.4,46.3,1,100,2008,2009
974,09X239,20092010,79.2,253,15,24.5,0.4,53,44.3,0.8,100,2009,2010
975,09X239,20102011,56.2,227,17.6,30,0.4,57.3,41,0.9,100,2010,2011
976,09X239,20112012,50.2,141,19.9,27.7,0.7,56.7,40.4,0.7,100,2011,2012
977,09X241,20072008,NA,334,5.7,12.9,5.4,29.6,61.1,3,54.8,2007,2008
978,09X241,20082009,NA,420,8.1,14.5,5,29.3,63.3,2.1,52.9,2008,2009
979,09X241,20092010,91.2,505,8.9,15,3.8,29.3,64.6,2,52.9,2009,2010
980,09X241,20102011,91.2,589,8.8,15.8,3.1,31.2,63.5,1.7,51.4,2010,2011
981,09X241,20112012,79.5,606,9.4,14.7,2.6,32,63.4,1.5,49.3,2011,2012
982,09X250,20052006,NA,152,2.6,4.6,0,52.6,42.1,0.7,42.8,2005,2006
983,09X250,20062007,NA,298,3.7,4,0.7,47.3,47.7,0.7,41.3,2006,2007
984,09X250,20072008,NA,418,4.5,6.7,0.7,45.9,46.9,1,42.6,2007,2008
985,09X250,20082009,NA,439,4.6,9.8,0.2,48.7,49.2,0.2,46.5,2008,2009
986,09X250,20092010,70.3,386,6.7,13,0.3,43.8,53.1,0.5,45.3,2009,2010
987,09X250,20102011,70.3,359,8.4,17,1.1,42.6,55.7,0.3,48.2,2010,2011
988,09X250,20112012,62.9,356,8.1,18.8,0.6,40.7,58.1,0.3,46.6,2011,2012
989,09X252,20052006,NA,112,NA,8.9,2.7,30.4,60.7,1.8,44.6,2005,2006
990,09X252,20062007,NA,226,2.2,8.8,2.2,32.3,61.9,1.8,44.2,2006,2007
991,09X252,20072008,NA,341,7.6,7.3,1.8,34.9,59.5,0.9,45.2,2007,2008
992,09X252,20082009,NA,413,6.5,6.5,1.7,34.4,62.7,1,46,2008,2009
993,09X252,20092010,64.8,385,7.8,8.3,1.3,33.2,63.1,1,48.3,2009,2010
994,09X252,20102011,64.8,358,8.4,12.8,1.4,29.3,67.9,0.6,46.1,2010,2011
995,09X252,20112012,58.9,354,8.8,15.5,1.1,24.3,73.7,0.8,45.8,2011,2012
996,09X260,20052006,NA,109,0.9,0.9,6.4,34.9,51.4,2.8,48.6,2005,2006
997,09X260,20062007,NA,232,4.7,0.9,4.7,32.3,59.9,1.3,46.1,2006,2007
998,09X260,20072008,NA,338,5,3.8,5.6,28.7,63.9,0.6,47.9,2007,2008
999,09X260,20082009,NA,419,2.6,8.6,5.5,27.2,65.6,1,46.8,2008,2009
1000,09X260,20092010,80.9,430,3.5,9.3,6,21.9,70.9,0.7,48.8,2009,2010
1001,09X260,20102011,80.9,423,2.8,11.3,6.6,23.4,69,0.9,44.2,2010,2011
1002,09X260,20112012,70,444,1.6,14,5.9,24.3,68.7,1.1,46.2,2011,2012
1003,09X263,20052006,NA,107,19.6,14,0,24.3,72,0,33.6,2005,2006
1004,09X263,20062007,NA,224,11.6,11.2,0,29.9,63.4,0.4,30.8,2006,2007
1005,09X263,20072008,NA,336,13.1,11.9,0.3,33.3,61,0.3,32.1,2007,2008
1006,09X263,20082009,NA,426,10.3,11.7,0.2,36.6,62.4,0.2,30,2008,2009
1007,09X263,20092010,88.5,408,10.8,12.5,0.5,38.7,59.3,0.5,33.3,2009,2010
1008,09X263,20102011,88.5,370,12.2,15.1,1.1,35.9,61.6,0.5,35.9,2010,2011
1009,09X263,20112012,76.1,365,12.1,16.2,1.1,34.2,63.8,0.3,44.1,2011,2012
1010,09X276,20052006,NA,106,15.1,20.8,0.9,24.5,68.9,2.8,44.3,2005,2006
1011,09X276,20062007,NA,209,14.8,12.4,1,27.3,64.6,2.4,43.1,2006,2007
1012,09X276,20072008,NA,291,12.4,15.1,0.7,33.3,62.5,1.7,49.1,2007,2008
1013,09X276,20082009,NA,328,10.1,13.4,1.2,36.9,58.2,1.5,47.9,2008,2009
1014,09X276,20092010,93.5,296,13.2,13.2,1,39.5,56.4,1.4,54.1,2009,2010
1015,09X276,20102011,81.9,262,18.3,18.7,1.1,33.2,63.4,1.5,52.3,2010,2011
1016,09X276,20112012,94.8,230,16.5,16.1,1.7,33,63.5,1.3,52.2,2011,2012
1017,09X297,20052006,NA,300,10,16,0.7,38,58.7,1,45.3,2005,2006
1018,09X297,20062007,NA,387,11.4,11.6,0.8,37,59.7,1.6,47.5,2006,2007
1019,09X297,20072008,NA,429,15.2,19.3,0.5,34.3,63.4,0.7,48.5,2007,2008
1020,09X297,20082009,NA,432,15,21.3,0.5,34.7,63,1.6,49.3,2008,2009
1021,09X297,20092010,84,428,18,21.5,0.5,32.5,65.2,0.5,52.3,2009,2010
1022,09X297,20102011,84,431,23.4,22.5,0.2,29.2,69.4,0.5,51,2010,2011
1023,09X297,20112012,79.1,450,19.1,22.4,0.4,26,73.1,0.4,53.8,2011,2012
1024,09X303,20072008,NA,351,13.4,16,0,29.3,68.7,0.3,44.4,2007,2008
1025,09X324,20092010,91.6,265,9.4,14.7,4.2,32.1,63,0.8,51.3,2009,2010
1026,09X324,20102011,83.4,377,11.4,17,2.9,31.3,64.7,0.8,50.1,2010,2011
1027,09X324,20112012,79.4,493,11,16.2,3,32,64.5,0.2,48.5,2011,2012
1028,09X329,20062007,NA,114,14.9,10.5,0,36,61.4,1.8,36,2006,2007
1029,09X329,20072008,NA,215,15.3,10.2,1.4,34.4,60.9,1.4,39.5,2007,2008
1030,09X329,20082009,NA,301,13,12,0.7,40.2,57.8,1.3,39.5,2008,2009
1031,09X329,20092010,90.2,366,14.8,13.1,0.8,36.1,62.3,0.5,42.1,2009,2010
1032,09X329,20102011,84.7,348,22.7,16.7,0.9,26.4,71.6,0,42.8,2010,2011
1033,09X329,20112012,80,349,24.4,19.5,0,26.9,69.9,0.3,44.1,2011,2012
1034,09X339,20052006,NA,953,18.7,23.4,0.9,33.4,64.4,0.3,51.7,2005,2006
1035,09X339,20062007,NA,914,17.2,21.8,1.1,30.4,67.2,0.2,51.1,2006,2007
1036,09X339,20082009,NA,840,29.4,25.2,1,27.9,70.2,0.4,49.5,2008,2009
1037,09X365,20072008,NA,110,91.8,0,0,0,100,0,57.3,2007,2008
1038,09X365,20082009,NA,197,84.3,0,0,0,100,0,47.7,2008,2009
1039,09X365,20092010,83.7,302,90.7,1,0,0.3,99.7,0,51,2009,2010
1040,09X365,20102011,98.7,364,86.8,1.1,0,0.5,99.5,0,50.8,2010,2011
1041,09X365,20112012,85.7,336,86.6,0.9,0,0.6,99.4,0,48.8,2011,2012
1042,09X403,20052006,NA,322,74.5,3.4,5.6,25.2,65.8,2.5,46,2005,2006
1043,09X403,20062007,NA,335,54.3,3,3.9,21.8,70.1,3.6,48.4,2006,2007
1044,09X403,20072008,NA,345,78.8,5.8,2.3,19.7,74.2,3.2,49.6,2007,2008
1045,09X403,20082009,NA,347,83,6.3,2,22.2,72.9,2.6,47.6,2008,2009
1046,09X403,20092010,89.8,356,86,4.5,2.2,20.5,74.7,2.5,49.7,2009,2010
1047,09X403,20102011,89.8,400,87,2,0,22.5,72.5,5,49.5,2010,2011
1048,09X403,20112012,82.3,403,87.1,1.2,1,22.8,72.2,3.7,45.7,2011,2012
1049,09X404,20052006,NA,390,5.9,11.8,1.8,41.8,54.1,0.5,44.4,2005,2006
1050,09X404,20062007,NA,403,6.5,13.6,1.2,44.7,51.9,0.2,44.2,2006,2007
1051,09X404,20072008,NA,442,10.6,14.7,0.5,42.1,55.4,0.5,48.4,2007,2008
1052,09X404,20082009,NA,450,12.9,18.9,0,39.3,59.3,0.7,51.1,2008,2009
1053,09X404,20092010,90,444,14.2,20.5,0,39.4,58.8,0.7,52.9,2009,2010
1054,09X404,20102011,90,425,17.6,24.7,0,35.1,64,0.5,51.8,2010,2011
1055,09X404,20112012,81.4,386,20.7,26.2,0.3,34.5,64.5,0,52.3,2011,2012
