,DBN,schoolyear,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,StartingYear,EndingYear
66,02M288,20102011,74.7,423,3.1,19.4,1.9,46.3,47.5,3.8,42.6,2010,2011
67,02M288,20112012,68.4,433,2.1,18.5,3,44.1,47.6,4.8,45,2011,2012
68,02M294,20052006,NA,183,5.5,13.1,6.6,23,51.9,12,52.5,2005,2006
69,02M294,20062007,NA,270,7.4,13,5.2,24.1,54.1,14.1,53.3,2006,2007
70,02M294,20072008,NA,343,6.4,14.9,6.1,25.7,56.6,10.5,52.2,2007,2008
71,02M294,20082009,NA,353,6.8,17.3,5.1,30.6,55.2,8.2,51.8,2008,2009
72,02M294,20092010,73.2,365,6.3,17.5,4.7,29.6,56.7,7.7,51.8,2009,2010
73,02M294,20102011,75.6,328,5.5,20.4,5.2,29,58.2,7.3,54,2010,2011
74,02M294,20112012,60.8,343,3.8,20.4,4.1,27.7,60.6,7.6,53.4,2011,2012
75,02M296,20052006,NA,214,5.6,5.1,2.8,35.5,55.1,3.7,27.6,2005,2006
76,02M296,20062007,NA,303,4.3,7.3,3.3,34.3,56.1,3,27.4,2006,2007
77,02M296,20072008,NA,376,6.1,10.4,4,35.4,54.3,3.2,30.1,2007,2008
78,02M296,20082009,NA,389,5.7,12.1,5.4,34.2,57.6,2.6,28.5,2008,2009
79,02M296,20092010,66.7,386,10.1,14.5,4.9,32.1,59.6,1.8,29.8,2009,2010
80,02M296,20102011,68.3,390,12.8,17.7,5.4,29.2,63.3,1.8,32.3,2010,2011
81,02M296,20112012,72.4,419,9.5,14.8,5.3,26.5,66.1,2.1,32.2,2011,2012
82,02M298,20062007,NA,310,1.6,7.1,29.4,27.4,29,5.2,51.6,2006,2007
83,02M298,20072008,NA,410,0.7,9.8,29,26.1,31,7.3,50,2007,2008
84,02M298,20082009,NA,410,2.2,12.7,19.8,29.8,39.5,6.1,46.6,2008,2009
85,02M298,20092010,62.2,413,1.2,14,14,32.2,42.4,7.5,45.8,2009,2010
86,02M298,20102011,67,413,2.2,12.6,10.9,36.3,41.6,6.8,45,2010,2011
87,02M298,20112012,56.7,414,2.2,13.8,10.1,32.4,42,3.9,43.7,2011,2012
88,02M300,20052006,NA,208,6.7,8.2,4.8,27.4,55.3,4.3,70.2,2005,2006
89,02M300,20062007,NA,307,7.5,6.8,4.2,25.4,61.9,4.2,68.4,2006,2007
90,02M300,20072008,NA,389,10.8,11.3,5.4,24.4,63,5.4,71.2,2007,2008
91,02M300,20082009,NA,384,8.1,13.5,4.4,25,65.1,4.9,74.7,2008,2009
92,02M300,20092010,72.8,367,11.7,15.8,4.6,23.7,65.9,5.7,74.1,2009,2010
