,DBN,school_name,Borough,lat_long,lat,long
161,13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",Brooklyn,"(40.694944407, -73.986035324)",40.69494441,-73.98603532
162,26Q430,Francis Lewis High School,Queens,"(40.740555714, -73.792848146)",40.74055571,-73.79284815
163,14K558,Williamsburg High School for Architecture and Design,Brooklyn,"(40.715037551, -73.954649959)",40.71503755,-73.95464996
164,02M519,Talent Unlimited High School,Manhattan,"(40.765445402, -73.960213786)",40.7654454,-73.96021379
165,09X250,Eximius College Preparatory Academy: A College Board School,Bronx,"(40.833738559, -73.902448245)",40.83373856,-73.90244825
166,02M529,Jacqueline Kennedy Onassis High School,Manhattan,"(40.757757386, -73.983187793)",40.75775739,-73.98318779
167,09X252,Mott Hall Bronx High School,Bronx,"(40.839327126, -73.90130979)",40.83932713,-73.90130979
168,29Q272,George Washington Carver High School for the Sciences,Queens,"(40.668232288, -73.756839894)",40.66823229,-73.75683989
169,31R047,CSI High School for International Studies,Staten Island,"(40.582022026, -74.157848419)",40.58202203,-74.15784842
170,29Q283,Preparatory Academy for Writers: A College Board School,Queens,"(40.668232288, -73.756839894)",40.66823229,-73.75683989
171,24Q530,International High School at LaGuardia Community College,Queens,"(40.744149536, -73.933626741)",40.74414954,-73.93362674
172,16K594,Gotham Professional Arts Academy,Brooklyn,"(40.680455473, -73.922196092)",40.68045547,-73.92219609
173,24Q299,Bard High School Early College Queens,Queens,"(40.745093519, -73.936813898)",40.74509352,-73.9368139
174,18K617,High School for Innovation in Advertising and Media,Brooklyn,"(40.641844268, -73.898687291)",40.64184427,-73.89868729
175,10X284,Bronx School of Law and Finance,Bronx,"(40.877049443, -73.912336599)",40.87704944,-73.9123366
176,29Q259,Pathways College Preparatory School: A College Board School,Queens,"(40.706387658, -73.753530022)",40.70638766,-73.75353002
177,24Q585,Maspeth High School,Queens,"(40.729538482, -73.887390523)",40.72953848,-73.88739052
178,09X350,New Directions Secondary School,Bronx,"(40.840373398, -73.910838008)",40.8403734,-73.91083801
179,02M542,Manhattan Bridges High School,Manhattan,"(40.765026708, -73.992516578)",40.76502671,-73.99251658
180,14K685,El Puente Academy for Peace and Justice,Brooklyn,"(40.705765931, -73.955728572)",40.70576593,-73.95572857
181,10X351,Bronx Collaborative High School,Bronx,"(40.88008184, -73.885901533)",40.88008184,-73.88590153
182,21K468,Kingsborough Early College School,Brooklyn,"(40.593593811, -73.984729232)",40.59359381,-73.98472923
183,02M139,Stephen T. Mather Building Arts & Craftsmanship High School,Manhattan,"(40.710679471, -74.000807021)",40.71067947,-74.00080702
184,02M374,Gramercy Arts High School,Manhattan,"(40.735519463, -73.987604249)",40.73551946,-73.98760425
185,18K642,Urban Action Academy,Brooklyn,"(40.641844268, -73.898687291)",40.64184427,-73.89868729
186,32K556,Bushwick Leaders High School for Academic Excellence,Brooklyn,"(40.694995763, -73.927986267)",40.69499576,-73.92798627
187,28Q687,Queens High School for the Sciences at York College,Queens,"(40.700998767001, -73.798153524)",40.70099877,-73.79815352
188,13K605,George Westinghouse Career and Technical Education High School,Brooklyn,"(40.694944407, -73.986035324)",40.69494441,-73.98603532
189,10X477,Marble Hill High School for International Studies,Bronx,"(40.877049443, -73.912336599)",40.87704944,-73.9123366
190,32K552,Academy of Urban Planning,Brooklyn,"(40.696961848, -73.910815939)",40.69696185,-73.91081594
191,19K422,Spring Creek Community School,Brooklyn,"(40.657522602, -73.874777025)",40.6575226,-73.87477703
192,13K412,"Brooklyn Community High School of Communication, Arts and Media",Brooklyn,"(40.692582256, -73.958873117)",40.69258226,-73.95887312
193,02M280,Manhattan Early College School for Advertising,Manhattan,"(40.710679471, -74.000807021)",40.71067947,-74.00080702
194,29Q326,Cambria Heights Academy,Queens,"(40.71181822, -73.771191876)",40.71181822,-73.77119188
195,09X231,Eagle Academy for Young Men,Bronx,"(40.845185327, -73.896980668)",40.84518533,-73.89698067
196,05M157,The Urban Assembly School for Global Commerce,Manhattan,"(40.807342087, -73.939434187)",40.80734209,-73.93943419
197,13K265,Dr. Susan S. McKinney Secondary School of the Arts,Brooklyn,"(40.696343773, -73.975771102)",40.69634377,-73.9757711
198,02M400,High School for Environmental Studies,Manhattan,"(40.767762439, -73.987511214)",40.76776244,-73.98751121
199,10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions",Bronx,"(40.875975449, -73.901234892)",40.87597545,-73.90123489
200,10X225,Theatre Arts Production Company School,Bronx,"(40.854646599, -73.896645553)",40.8546466,-73.89664555
201,19K502,FDNY High School for Fire and Life Safety,Brooklyn,"(40.667553111, -73.894800537)",40.66755311,-73.89480054
202,02M459,Manhattan International High School,Manhattan,"(40.765445402, -73.960213786)",40.7654454,-73.96021379
203,02M412,N.Y.C. Lab School for Collaborative Studies,Manhattan,"(40.742100713, -74.002073797)",40.74210071,-74.0020738
204,19K504,High School for Civil Rights,Brooklyn,"(40.667553111, -73.894800537)",40.66755311,-73.89480054
205,02M392,MANHATTAN BUSINESS ACADEMY,Manhattan,"(40.742888101, -74.002127381)",40.7428881,-74.00212738
206,31R080,The Michael J. Petrides School,Staten Island,"(40.607453024, -74.10148223)",40.60745302,-74.10148223
207,27Q302,"Queens High School for Information, Research, and Technology",Queens,"(40.601989336, -73.762834323)",40.60198934,-73.76283432
208,29Q313,Benjamin Franklin High School for Finance & Information Technology,Queens,"(40.697807330001, -73.745857755)",40.69780733,-73.74585776
209,31R440,New Dorp High School,Staten Island,"(40.569182427001, -74.107300808)",40.56918243,-74.10730081
210,09X329,DreamYard Preparatory School,Bronx,"(40.840373398, -73.910838008)",40.8403734,-73.91083801
211,02M296,High School of Hospitality Management,Manhattan,"(40.765026708, -73.992516578)",40.76502671,-73.99251658
212,09X403,Bronx International High School,Bronx,"(40.827602669001, -73.904475257)",40.82760267,-73.90447526
213,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,Manhattan,"(40.735519463, -73.987604249)",40.73551946,-73.98760425
214,02M308,Lower Manhattan Arts Academy,Manhattan,"(40.716867224, -73.989531943)",40.71686722,-73.98953194
215,02M419,Landmark High School,Manhattan,"(40.742888101, -74.002127381)",40.7428881,-74.00212738
216,31R064,Gaynor McCown Expeditionary Learning School,Staten Island,"(40.582022026, -74.157848419)",40.58202203,-74.15784842
217,19K618,Academy of Innovative Technology,Brooklyn,"(40.691143962, -73.868426057)",40.69114396,-73.86842606
218,12X372,Urban Assembly School for Wildlife Conservation,Bronx,"(40.844039958, -73.884686973)",40.84403996,-73.88468697
219,10X434,Belmont Preparatory High School,Bronx,"(40.860012221, -73.888229604)",40.86001222,-73.8882296
220,10X353,World View High School,Bronx,"(40.88008184, -73.885901533)",40.88008184,-73.88590153
221,12X278,Peace and Diversity Academy,Bronx,"(40.82522606, -73.893949889)",40.82522606,-73.89394989
222,18K589,Arts & Media Preparatory Academy,Brooklyn,"(40.65845703, -73.929033174)",40.65845703,-73.92903317
223,07X670,Health Opportunities High School,Bronx,"(40.816084481, -73.930323839)",40.81608448,-73.93032384
224,10X213,Bronx Engineering and Technology Academy,Bronx,"(40.877049443, -73.912336599)",40.87704944,-73.9123366
225,02M489,High School of Economics and Finance,Manhattan,"(40.709219625, -74.012025915)",40.70921963,-74.01202592
226,09X241,"Urban Assembly School for Applied Math and Science, The",Bronx,"(40.839327126, -73.90130979)",40.83932713,-73.90130979
227,02M298,Pace High School,Manhattan,"(40.716412393001, -73.992675844)",40.71641239,-73.99267584
