,DBN,School_Name,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,avg_sat_score,schoolyear,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,Borough
36,02M298,PACE HIGH SCHOOL,85,423,438,432,1293,20102011,67,413,2.2,12.6,10.9,36.3,41.6,6.8,45,Manhattan
37,02M298,PACE HIGH SCHOOL,85,423,438,432,1293,20112012,56.7,414,2.2,13.8,10.1,32.4,42,3.9,43.7,Manhattan
38,02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,1269,20092010,72.8,367,11.7,15.8,4.6,23.7,65.9,5.7,74.1,Manhattan
39,02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,1269,20102011,83.3,393,11.5,19.6,5.1,25.7,62.3,5.1,74.3,Manhattan
40,02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,1269,20112012,75.3,431,10.9,20,6,29.2,59.2,4.9,74.9,Manhattan
41,02M303,"FACING HISTORY SCHOOL, THE",76,353,358,340,1051,20092010,85.9,401,14.7,20.4,2,31.2,65.1,0.7,50.4,Manhattan
42,02M303,"FACING HISTORY SCHOOL, THE",76,353,358,340,1051,20102011,83.8,412,19.9,23.1,1.2,25.7,70.4,2.4,49.8,Manhattan
43,02M303,"FACING HISTORY SCHOOL, THE",76,353,358,340,1051,20112012,75.6,451,20.8,21.7,0.7,23.5,73.2,2.4,50.6,Manhattan
44,02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,1148,20092010,71.9,284,5.6,13.7,3.2,41.9,50,4.2,40.8,Manhattan
45,02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,1148,20102011,73.4,290,5.9,14.5,3.1,41.7,52.4,2.4,40.7,Manhattan
46,02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,1148,20112012,68.3,312,6.1,17,3.8,41.7,50.6,3.5,43.9,Manhattan
47,02M308,LOWER MANHATTAN ARTS ACADEMY,40,403,392,405,1200,20092010,75.6,311,4.8,26,8.4,31.8,51.1,4.8,39.2,Manhattan
48,02M308,LOWER MANHATTAN ARTS ACADEMY,40,403,392,405,1200,20102011,77,324,5.2,27.2,9.6,30.9,55.2,3.4,41.4,Manhattan
49,02M308,LOWER MANHATTAN ARTS ACADEMY,40,403,392,405,1200,20112012,62.2,336,3.9,24.7,9.5,30.7,55.7,3.6,39.9,Manhattan
50,02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390,1188,20092010,58.9,247,5.3,16.2,3.2,35.6,51.4,7.7,53,Manhattan
51,02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390,1188,20102011,55.7,253,5.5,14.6,3.2,34,54.2,7.1,54.9,Manhattan
52,02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390,1188,20112012,51,248,4.8,12.9,4,34.3,54.4,6.5,52.4,Manhattan
53,02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384,1127,20092010,77.8,350,5.7,18.3,2.3,42.3,53.1,1.4,0,Manhattan
54,02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384,1127,20102011,86.7,369,4.3,19,2.4,43.6,49.6,1.4,0,Manhattan
55,02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384,1127,20112012,74.9,378,2.6,15.6,3.4,46.8,48.4,1.3,0,Manhattan
56,02M374,GRAMERCY ARTS HIGH SCHOOL,60,391,391,394,1176,20092010,67.6,400,3.3,10.3,2.3,45.5,43.8,6,34.8,Manhattan
57,02M374,GRAMERCY ARTS HIGH SCHOOL,60,391,391,394,1176,20102011,66.9,461,2.8,11.7,2.4,46.9,42.7,7.2,30.2,Manhattan
58,02M374,GRAMERCY ARTS HIGH SCHOOL,60,391,391,394,1176,20112012,59,495,3,12.3,2.8,45.3,45.1,6.7,26.3,Manhattan
59,02M376,NYC ISCHOOL,92,473,483,479,1435,20092010,50,200,0,4.5,10,22.5,39.5,24,42.5,Manhattan
60,02M376,NYC ISCHOOL,92,473,483,479,1435,20112012,34.6,433,0.5,10.9,11.5,20.6,43,24,48.7,Manhattan
61,02M394,EMMA LAZARUS HIGH SCHOOL,79,319,512,357,1188,20102011,100,235,86,0,60.4,5.5,31.1,3,52.3,Manhattan
62,02M394,EMMA LAZARUS HIGH SCHOOL,79,319,512,357,1188,20112012,97,250,82.8,0,62.4,7.2,26.4,4,51.2,Manhattan
63,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465,493,461,1419,20092010,58.2,1418,5.9,11.4,15.7,17.3,54.4,12.3,48.7,Manhattan
64,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465,493,461,1419,20102011,55.9,1429,7.4,12.9,16.1,15,56.2,12.6,49.5,Manhattan
65,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465,493,461,1419,20112012,56.4,1394,7.1,14.4,16.7,14.8,57.2,11.1,50.4,Manhattan
66,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54,492,465,467,1424,20092010,22.9,485,0.8,10.3,9.3,18.4,21.4,50.5,51.3,Manhattan
67,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54,492,465,467,1424,20102011,15.4,493,0.2,8.7,5.3,9.5,20.7,50.5,52.3,Manhattan
