DBN,SchoolName,AP Test Takers,Total Exams Taken,Number of Exams with scores 3 4 or 5,schoolyear,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,StartingYear,EndingYear,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,avg_sat_score,avg_class_size,avg_largest_class,avg_smallest_class,Borough,lat_long,lat,long,Total Grads - % of cohort,Dropped Out - % of cohort,exams_per_student,high_score_percent
02M411,BARUCH COLLEGE CAMPUS HS,78,115,88,20092010,59.2,440,0.2,2.5,58.4,6.1,11.6,23.2,41.8,2009,2010,104,496,563,518,1577,26.57333333,31.53333333,19.4,Manhattan,"(40.744047248, -73.991479299)",40.74404725,-73.9914793,98.1,0,1.4743589743589745,76.52173913043478
02M411,BARUCH COLLEGE CAMPUS HS,78,115,88,20102011,62.2,438,1.1,2.1,60.5,6.6,11.4,21.5,42.5,2010,2011,104,496,563,518,1577,26.57333333,31.53333333,19.4,Manhattan,"(40.744047248, -73.991479299)",40.74404725,-73.9914793,98.1,0,1.4743589743589745,76.52173913043478
02M411,BARUCH COLLEGE CAMPUS HS,78,115,88,20112012,54.6,432,1.6,2.3,60.6,5.8,14.6,18.8,44,2011,2012,104,496,563,518,1577,26.57333333,31.53333333,19.4,Manhattan,"(40.744047248, -73.991479299)",40.74404725,-73.9914793,98.1,0,1.4743589743589745,76.52173913043478
02M412,NYC LAB HS FOR COLL. STUDIES,114,140,97,20092010,20.2,520,0.6,15.8,29.2,9,13.3,46.2,50.2,2009,2010,114,537,590,550,1677,32.56666667,34.46666667,30.46666667,Manhattan,"(40.742100713, -74.002073797)",40.74210071,-74.0020738,91.1,1.6,1.2280701754385965,69.28571428571428
02M412,NYC LAB HS FOR COLL. STUDIES,114,140,97,20102011,23.8,524,1.1,12.8,27.7,8,14.3,49.2,48.9,2010,2011,114,537,590,550,1677,32.56666667,34.46666667,30.46666667,Manhattan,"(40.742100713, -74.002073797)",40.74210071,-74.0020738,91.1,1.6,1.2280701754385965,69.28571428571428
02M412,NYC LAB HS FOR COLL. STUDIES,114,140,97,20112012,21.6,579,1.6,15,29.4,8.5,14,45.9,47,2011,2012,114,537,590,550,1677,32.56666667,34.46666667,30.46666667,Manhattan,"(40.742100713, -74.002073797)",40.74210071,-74.0020738,91.1,1.6,1.2280701754385965,69.28571428571428
02M416,Eleanor Roosevelt High School,155,235,169,20092010,26.7,498,0.6,2.2,18.1,8.2,9.8,61.2,35.9,2009,2010,127,572,594,592,1758,27.43333333,30.66666667,23.55555556,Manhattan,"(40.770116471, -73.953379101)",40.77011647,-73.9533791,100,0,1.5161290322580645,71.91489361702128
02M416,Eleanor Roosevelt High School,155,235,169,20102011,16.7,499,0.2,2.2,19.6,7.4,10,62.5,33.3,2010,2011,127,572,594,592,1758,27.43333333,30.66666667,23.55555556,Manhattan,"(40.770116471, -73.953379101)",40.77011647,-73.9533791,100,0,1.5161290322580645,71.91489361702128
02M416,Eleanor Roosevelt High School,155,235,169,20112012,15.8,507,0.2,1.2,17.2,5.5,11.6,63.7,32.5,2011,2012,127,572,594,592,1758,27.43333333,30.66666667,23.55555556,Manhattan,"(40.770116471, -73.953379101)",40.77011647,-73.9533791,100,0,1.5161290322580645,71.91489361702128
02M418,Millennium High School,86,95,67,20092010,44.8,619,0.2,8.9,28.3,12,22.1,35.2,35.4,2009,2010,144,528,553,533,1614,29.21176471,31.35294118,26.41176471,Manhattan,"(40.704920366, -74.011514023)",40.70492037,-74.01151402,96.7,0,1.1046511627906976,70.52631578947368
02M418,Millennium High School,86,95,67,20102011,44.8,637,0,8.9,28.3,9.3,24.8,37.2,37.8,2010,2011,144,528,553,533,1614,29.21176471,31.35294118,26.41176471,Manhattan,"(40.704920366, -74.011514023)",40.70492037,-74.01151402,96.7,0,1.1046511627906976,70.52631578947368
02M418,Millennium High School,86,95,67,20112012,32.7,626,0.2,9.1,30,8.8,21.7,35.9,38.2,2011,2012,144,528,553,533,1614,29.21176471,31.35294118,26.41176471,Manhattan,"(40.704920366, -74.011514023)",40.70492037,-74.01151402,96.7,0,1.1046511627906976,70.52631578947368
02M420,HEALTH PROF & HUMAN SVCS,204,248,75,20092010,81.4,1695,4,7.9,18.9,23.7,50.7,5.3,28.3,2009,2010,336,429,449,428,1306,32.1875,34.0625,28.1875,Manhattan,"(40.732485378, -73.983053388)",40.73248538,-73.98305339,82.1,0.6,1.2156862745098038,30.241935483870968
02M420,HEALTH PROF & HUMAN SVCS,204,248,75,20102011,81.4,1721,4.4,9.7,19.5,24.4,50.6,5.3,29.2,2010,2011,336,429,449,428,1306,32.1875,34.0625,28.1875,Manhattan,"(40.732485378, -73.983053388)",40.73248538,-73.98305339,82.1,0.6,1.2156862745098038,30.241935483870968
02M420,HEALTH PROF & HUMAN SVCS,204,248,75,20112012,68,1768,4,10.9,20.5,24.4,49.7,5.3,29.4,2011,2012,336,429,449,428,1306,32.1875,34.0625,28.1875,Manhattan,"(40.732485378, -73.983053388)",40.73248538,-73.98305339,82.1,0.6,1.2156862745098038,30.241935483870968
02M425,H S FOR LEADERSHIP & PUBLIC,70,84,32,20092010,85.5,646,4.2,16.1,9.3,30.8,51.7,6.3,48.8,2009,2010,84,416,426,391,1233,27.97333333,31.86666667,22.66666667,Manhattan,"(40.709146539, -74.012076627)",40.70914654,-74.01207663,54.2,16,1.2,38.095238095238095
02M425,H S FOR LEADERSHIP & PUBLIC,70,84,32,20102011,80.4,646,5.3,16.7,8.5,29.4,54.2,7.6,46.6,2010,2011,84,416,426,391,1233,27.97333333,31.86666667,22.66666667,Manhattan,"(40.709146539, -74.012076627)",40.70914654,-74.01207663,54.2,16,1.2,38.095238095238095
