,DBN,School Name,Total Grads - % of cohort,Dropped Out - % of cohort
84,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,100,0
85,04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECO,41.3,20
86,04M680,HERITAGE SCHOOL  THE,56,9.3
87,04M695,URBAN PEACE ACADEMY,77.8,11.1
88,05M285,HARLEM RENAISSANCE HIGH SCHOOL,12.3,22.2
89,05M304,MOTT HALL HIGH SCHOOL,69.8,7.3
90,05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORM,69.4,16.1
91,05M469,CHOIR ACADEMY OF HARLEM,56.4,10.3
92,05M499,FREDERICK DOUGLASS ACADEMY,82.6,3.5
93,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,68.4,10.5
94,05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,37.2,18.2
95,05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,95.3,0
96,06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,74.1,9.2
97,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,62.7,12.4
98,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,71.3,9.4
99,06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SC,55.7,20.9
100,06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,71.2,3
101,06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIE,81.3,8.8
102,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BO,80,3.8
103,07X321,CROTONA ACADEMY HIGH SCHOOL,14.3,17.9
104,07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,NA,NA
105,07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,10,16
106,07X381,BRONX HAVEN HIGH SCHOOL   ,NA,NA
107,07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,64.2,19.8
108,07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH S,63.8,14.5
109,07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,83.6,1.6
110,07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL ST,60.3,7.4
111,07X527,BRONX LEADERSHIP ACADEMY II HS,72.5,14.7
112,07X547,NEW EXPLORERS HIGH SCHOOL,44.4,17.3
113,07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN,79.3,6.1
114,07X551,BRONX ACADEMY OF LETTERS,73.7,6.6
115,18K589,ARTS & MEDIA PREPARATORY ACADEMY,NA,NA
116,07X600,ALFRED E. SMITH CAREER AND TECHNICAL,40.8,18
117,07X655,SAMUEL GOMPERS CAREER AND TECHNICAL E,48.5,21.6
118,07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,69.4,18.7
119,08X282,WOMEN'S ACADEMY OF EXCELLENCE,66.7,16
120,08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL T,65.8,13.7
121,08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESE,40.5,13.2
122,08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE,56.4,17.8
123,08X312,MILLENNIUM ART ACADEMY,58.3,9.3
124,08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNIT,57.3,14.6
125,08X377,BRONX COMMUNITY HIGH SCHOOL,12.7,24.1
126,08X405,HERBERT H. LEHMAN HIGH SCHOOL,44.6,21.2
127,08X450,ADLAI E. STEVENSON HIGH SCHOOL,NA,NA
128,08X452,BRONX GUILD,62.5,6.3
129,08X519,FELISA RINCON DE GAUTIER INSTITUTE FO,52.5,17.2
130,08X530,BANANA KELLY HIGH SCHOOL,41.7,23.1
131,08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEA,49.4,15.7
132,08X560,HIGH SCHOOL X560 - BRONX ACADEMY HIGH,19.9,17
133,08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC,43,25.8
134,08X686,NEW SCHOOL FOR ARTS AND SCIENCES,NA,NA
135,09X227,BRONX EXPEDITIONARY LEARNING HIGH SCH,57.3,8.3
136,09X231,EAGLE ACADEMY FOR YOUNG MEN,63,4
137,09X239,URBAN ASSEMBLY ACADEMY FOR HISTORY AN,41.9,24.3
138,09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY:,60,5
139,09X252,MOTT HALL BRONX HIGH SCHOOL,77.6,1.9
140,09X260,BRONX CENTER FOR SCIENCE AND MATHEMAT,88,4
141,09X263,VALIDUS PREPARATORY ACADEMY: AN EXPED,75,11.7
142,09X276,LEADERSHIP INSTITUTE,53.7,20.9
143,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUD,67.7,15.2
144,09X329,DREAMYARD PREPARATORY SCHOOL,43,16.1
145,09X403,BRONX INTERNATIONAL HIGH SCHOOL,65.9,4.5
146,09X404,SCHOOL FOR EXCELLENCE,54.6,9.3
147,09X412,BRONX HIGH SCHOOL OF BUSINESS,49.1,16.4
148,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,83.5,1
149,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,45.5,4.1
150,09X505,BRONX SCHOOL FOR LAW  GOVERNMENT AND,77,4.1
151,09X517,FREDERICK DOUGLASS ACADEMY III SECOND,78.2,1.1
152,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,68.5,18.5
153,18K629,CULTURAL ACADEMY FOR THE ARTS AND SCI,NA,NA
154,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,78.7,4.3
155,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,86.7,3.7
156,10X213,BRONX ENGINEERING AND TECHNOLOGY ACAD,75.3,5.5
157,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOO,93.5,1.6
158,10X237,THE MARIE CURIE SCHOOL FOR MEDICINE,73.1,4.5
159,10X243,WEST BRONX ACADEMY FOR THE FUTURE,48.6,16.7
160,10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,56.8,11
161,10X284,BRONX SCHOOL OF LAW AND FINANCE,58.6,19.2
162,10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,21.2,21.2
163,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,59,12
164,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 3,62.6,12.2
165,10X374,KNOWLEDGE AND POWER PREPARATORY ACADE,NA,NA
166,10X397,ENGLISH LANGUAGE LEARNERS AND INTERNA,NA,NA
167,10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,65.7,22.4
168,10X434,BELMONT PREPARATORY HIGH SCHOOL,63.5,11.5
169,10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,73.2,7.3
170,10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINE,51.4,16
171,10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNI,40,12.2
172,10X440,DEWITT CLINTON HIGH SCHOOL,56.5,17.5
173,10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,74.4,7.3
174,10X445,BRONX HIGH SCHOOL OF SCIENCE,98.4,0
175,10X475,JOHN F. KENNEDY HIGH SCHOOL,35.7,29.3
176,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,88.8,0
177,10X495,UNIVERSITY HEIGHTS,90.6,7.7
178,10X546,BRONX THEATRE HIGH SCHOOL,51.9,18.5
179,10X549,DISCOVERY HIGH SCHOOL,64.6,13.5
180,10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,42,27.1
181,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,97.4,1.3
182,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,96.6,0
183,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,66.9,11.9
184,11X265,BRONX LAB SCHOOL,62.8,7.4
185,11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,66.2,3.1
186,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,82.2,3.3
187,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,74.4,15.7
188,11X290,BRONX ACADEMY OF HEALTH CAREERS,62.6,18.2
189,11X299,ASTOR COLLEGIATE ACADEMY,64.9,9
190,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,41.6,13.6
191,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,62.1,15.8
192,11X425,EVANDER CHILDS HIGH SCHOOL,NA,NA
193,11X455,HARRY S TRUMAN HIGH SCHOOL,59.8,13.8
194,11X513,NEW WORLD HIGH SCHOOL,74.2,3.2
195,11X514,THE BRONXWOOD PREPARATORY ACADEMY,50,15.2
196,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,50.9,16.4
197,11X542,PELHAM PREPARATORY ACADEMY,89.2,3.6
198,11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,60.2,2.5
199,11X545,BRONX AEROSPACE HIGH SCHOOL,88.6,4.3
200,12X245,NEW DAY ACADEMY,27.8,25
201,12X248,METROPOLITAN HIGH SCHOOL  THE,71.2,12.5
202,12X251,EXPLORATIONS ACADEMY,72.5,17.4
203,12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,45.1,18.6
204,12X267,BRONX LATIN,NA,NA
205,12X271,EAST BRONX ACADEMY FOR THE FUTURE,67.6,12.2
206,12X278,PEACE AND DIVERSITY ACADEMY,49,15.6
207,12X480,BRONX REGIONAL HIGH SCHOOL,26.2,6.5
208,12X550,HIGH SCHOOL OF WORLD CULTURES,69.2,1.9
209,12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,50.5,22.2
210,12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,60.5,7.6
211,12X684,WINGS ACADEMY,66.4,10.3
212,12X690,MONROE ACADEMY FOR BUSINESS/LAW,47.4,26.3
213,12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,47.3,11.6
214,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,81.5,3.7
215,13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC A,71.9,7.3
216,13K412,BROOKLYN COMMUNITY HIGH SCHOOL OF COM,50,2.6
217,13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,59.3,7.4
218,13K430,BROOKLYN TECHNICAL HIGH SCHOOL,91.4,0.2
219,13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,81.7,4.3
220,13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,84.4,1.8
221,13K499,ACORN COMMUNITY HIGH SCHOOL,73.4,8.3
222,13K509,FREEDOM ACADEMY HIGH SCHOOL,62.1,5.2
223,13K553,BROOKLYN ACADEMY HIGH SCHOOL,16.4,20
224,13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,28.8,3.8
225,13K595,BEDFORD ACADEMY HIGH SCHOOL,92.1,3.9
226,13K605,GEORGE WESTINGHOUSE CAREER AND TECHNI,52,11
227,13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP A,8,26.1
228,13K670,BENJAMIN BANNEKER ACADEMY,92.3,2.6
229,14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,40,18
230,14K322,FOUNDATIONS ACADEMY,68.3,3.3
231,14K404,ACADEMY FOR YOUNG WRITERS,76.9,3.8
232,14K449,BROOKLYN LATIN SCHOOL  THE,92.2,0
233,14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONM,54.2,15.6
234,14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL,64.3,6.3
235,14K477,SCHOOL FOR LEGAL STUDIES,58.9,16.4
236,14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSIN,83.2,3.1
237,14K488,BROOKLYN PREPARATORY HIGH SCHOOL,78.7,6.7
238,14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITEC,82.5,7.2
239,14K561,WILLIAMSBURG PREPARATORY SCHOOL,86.1,7.4
240,14K586,LYONS COMMUNITY SCHOOL,NA,NA
241,14K610,AUTOMOTIVE HIGH SCHOOL,54.5,14.2
242,14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTI,68.3,2.4
243,15K027,AGNES Y. HUMPHREY SCHOOL FOR LEADERSH,NA,NA
244,15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,52.7,3.3
245,15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABO,84.2,3.9
246,15K462,SECONDARY SCHOOL FOR LAW,61.8,4.5
247,15K463,SECONDARY SCHOOL FOR JOURNALISM,54.3,7.4
248,15K464,PARK SLOPE COLLEGIATE,58.6,6.9
249,15K497,SCHOOL FOR INTERNATIONAL STUDIES,63.1,10.8
250,15K498,ACORN HS FOR SOCIAL JUSTICE,75,6.3
251,15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIE,63.4,14.1
252,15K520,PACIFIC HIGH SCHOOL,12.7,12.7
253,15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,10.3,9.3
254,15K530,METROPOLITAN CORPORATE ACADEMY HIGH S,41.7,14.3
255,15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,72,2
256,15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,12.7,12.7
257,16K393,FREDERICK DOUGLASS ACADEMY IV SECONDA,77.5,1.4
258,16K455,BOYS AND GIRLS HIGH SCHOOL,38.9,19.2
259,16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,NA,NA
260,17K382,ACADEMY FOR COLLEGE PREPARATION AND C,84.1,4.3
261,17K408,ACADEMY OF  HOSPITALITY AND TOURISM,69.1,3.7
262,17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,19.8,34.6
263,17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT,39.3,8.3
264,17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHI,61.5,14.4
265,17K531,SCHOOL FOR HUMAN RIGHTS  THE,81.7,6.7
266,17K533,SCHOOL FOR DEMOCRACY AND  LEADERSHIP,0,8.1
267,17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY D,56,8
268,17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT,77.6,12.9
269,17K543,SCIENCE  TECHNOLOGY AND RESEARCH EARL,98.7,0
270,17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,49.1,6.5
271,17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROE,94.6,0
272,17K547,BROOKLYN ACADEMY OF SCIENCE AND THE,69.1,5.5
273,21K572,EXPEDITIONARY LEARNING SCHOOL FOR COM,NA,NA
274,17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,73.9,2.3
275,17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,12,20
276,17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHO,93.6,3.8
277,17K600,CLARA BARTON HIGH SCHOOL,60.7,12.9
278,17K625,PAUL ROBESON HIGH SCHOOL,46.6,12.7
279,18K415,SAMUEL J. TILDEN HIGH SCHOOL,59,15.7
280,18K500,CANARSIE HIGH SCHOOL,42.2,22.5
281,18K515,SOUTH SHORE HIGH SCHOOL,42.4,39.2
282,18K563,IT TAKES A VILLAGE ACADEMY,NA,NA
283,18K566,BROOKLYN GENERATION SCHOOL,NA,NA
284,18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,NA,NA
285,18K569,KURT HAHN EXPEDITIONARY LEARNING SCHO,NA,NA
286,18K576,VICTORY COLLEGIATE HIGH SCHOOL,NA,NA
287,18K578,BROOKLYN BRIDGE ACADEMY,14.9,16.1
288,18K635,OLYMPUS ACADEMY,16.8,8.9
289,18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,4.3,8.7
290,19K409,EAST NEW YORK FAMILY ACADEMY,79.1,3.3
291,19K420,FRANKLIN K. LANE HIGH SCHOOL,38.3,23.5
292,19K435,THOMAS JEFFERSON HIGH SCHOOL,NA,NA
293,19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SA,55.2,23
294,19K504,HIGH SCHOOL FOR CIVIL RIGHTS,59.5,10.8
295,21K728,LIBERATION DIPLOMA PLUS,26.2,12.3
296,19K507,PERFORMING ARTS AND TECHNOLOGY HIGH S,68.5,8.1
297,19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEA,24.2,8.4
298,19K583,MULTICULTURAL HIGH SCHOOL,NA,NA
299,19K615,TRANSIT TECH CAREER AND TECHNICAL EDU,65.3,7.2
300,19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,NA,NA
301,19K639,BROOKLYN LAB SCHOOL,NA,NA
302,19K659,CYPRESS HILLS COLLEGIATE PREPARATORY,57.5,7.5
303,19K660,W. H. MAXWELL CAREER AND TECHNICAL ED,43.4,20.4
304,20K445,NEW UTRECHT HIGH SCHOOL,64.3,5.8
305,20K485,HIGH SCHOOL OF  TELECOMMUNICATION ART,75.8,6.1
306,20K490,FORT HAMILTON HIGH SCHOOL,65.9,14.2
307,20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,52.7,22.5
308,21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,43.7,9.9
309,21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL,62.8,7.1
310,21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,75.4,9.2
311,21K400,LAFAYETTE HIGH SCHOOL,47.7,29.2
312,21K410,ABRAHAM LINCOLN HIGH SCHOOL,57.1,16
313,21K525,EDWARD R. MURROW HIGH SCHOOL,74.8,5.9
314,21K540,JOHN DEWEY HIGH SCHOOL,57.5,12.6
315,21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND,NA,NA
316,21K620,WILLIAM E. GRADY CAREER AND TECHNICAL,42.3,21.4
317,21K690,BROOKLYN STUDIO SECONDARY SCHOOL,67.9,15
