,DBN,School Name,Total Grads - % of cohort,Dropped Out - % of cohort
365,27Q650,HIGH SCHOOL FOR CONSTRUCTION TRADES,88.1,1.1
366,28Q440,FOREST HILLS HIGH SCHOOL,84.6,2.5
367,28Q470,JAMAICA HIGH SCHOOL,48.2,18.8
368,28Q505,HILLCREST HIGH SCHOOL,64,12.4
369,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL,84.9,5.4
370,28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SEC,93.2,0
371,28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES A,95.3,0
372,28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND P,76.2,7.9
373,29Q248,QUEENS PREPARATORY ACADEMY,71.6,10.5
374,29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL:,81.3,9.4
375,29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,60.4,2.2
376,29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL,78.6,2.9
377,29Q283,PREPARATORY ACADEMY FOR WRITERS: A CO,77.8,13.9
378,29Q492,MATHEMATICS  SCIENCE RESEARCH AND TEC,67.6,9.3
379,29Q494,LAW  GOVERNMENT AND COMMUNITY SERVICE,57.6,10.4
380,29Q496,BUSINESS  COMPUTER APPLICATIONS & ENT,44.8,19
381,29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,76.6,6.4
382,30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,55.4,13.6
383,30Q450,LONG ISLAND CITY HIGH SCHOOL,58.5,12.8
384,30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,94.7,1.8
385,30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,67.4,12.4
386,30Q555,NEWCOMERS HIGH SCHOOL,66.4,14.5
387,30Q575,ACADEMY OF AMERICAN STUDIES,80.6,1.9
388,30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCA,98.6,1.4
389,31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STU,95,1.3
390,31R080,THE MICHAEL J. PETRIDES SCHOOL,88.5,2.7
391,31R440,NEW DORP HIGH SCHOOL,73.7,8.8
392,31R445,PORT RICHMOND HIGH SCHOOL,63.6,10.6
393,31R450,CURTIS HIGH SCHOOL,69.2,9.7
394,31R455,TOTTENVILLE HIGH SCHOOL,82,8.1
395,31R460,SUSAN E. WAGNER HIGH SCHOOL,75.9,8
396,31R470,CONCORD HIGH SCHOOL,34.6,21.2
397,31R600,RALPH R. MCKEE CAREER AND TECHNICAL E,55.4,9.7
398,31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,99.7,0
399,32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,66.7,10.1
400,32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICEBU,62.7,3.7
401,32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,76.3,9.3
402,32K552,ACADEMY OF URBAN PLANNING,47.8,8.7
403,32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,83.7,4.7
404,32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACAD,55.6,18.8
405,32K564,BUSHWICK COMMUNITY HIGH SCHOOL,7.8,40.6
