"","DBN","SchoolName","AP Test Takers","Total Exams Taken","Number of Exams with scores 3 4 or 5","schoolyear","frl_percent","total_enrollment","ell_percent","sped_percent","asian_per","black_per","hispanic_per","white_per","male_per","StartingYear","EndingYear","Num of SAT Test Takers","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","avg_sat_score"
"36","02M425","H S FOR LEADERSHIP & PUBLIC",70,84,32,20112012,74.2,607,5.4,18.6,8.1,30.5,54.2,6.6,46.1,2011,2012,84,416,426,391,1233
"37","02M439","MANHATTAN VILLAGE ACADEMY HS",42,69,29,20092010,76,449,3.6,10,6.5,25.2,61.7,5.6,38.1,2009,2010,95,441,473,458,1372
"38","02M439","MANHATTAN VILLAGE ACADEMY HS",42,69,29,20102011,79.1,433,3.5,8.5,7.2,22.2,66.1,4.4,39.7,2010,2011,95,441,473,458,1372
"39","02M439","MANHATTAN VILLAGE ACADEMY HS",42,69,29,20112012,60.3,429,3.7,8.2,6.3,16.8,71.8,4.9,38.5,2011,2012,95,441,473,458,1372
"40","02M459","CES-MANHATTAN INTERNATIONAL",12,12,6,20092010,94.4,309,67,1,24.3,17.5,41.4,16.2,49.2,2009,2010,49,376,460,391,1227
"41","02M459","CES-MANHATTAN INTERNATIONAL",12,12,6,20102011,90.5,320,73.8,0.6,33.4,14.7,36.9,15,48.8,2010,2011,49,376,460,391,1227
"42","02M459","CES-MANHATTAN INTERNATIONAL",12,12,6,20112012,80.7,325,77.5,0.3,33.5,14.8,36.9,14.5,44.3,2011,2012,49,376,460,391,1227
"43","02M460","WASHINGTON IRVING HS",69,83,21,20092010,68.8,1478,20,12.3,5,31.1,61,2.3,45.6,2009,2010,151,373,387,360,1120
"44","02M460","WASHINGTON IRVING HS",69,83,21,20102011,65.8,1231,20.1,16.1,4.8,32.8,60,2.1,46.4,2010,2011,151,373,387,360,1120
"45","02M460","WASHINGTON IRVING HS",69,83,21,20112012,66,1032,18.6,17.2,4.8,34.3,58.2,2.3,47.5,2011,2012,151,373,387,360,1120
"46","02M475","STUYVESANT HS",1510,2819,2648,20092010,36.7,3277,0,0.4,69.3,1.8,2.8,25.8,58.3,2009,2010,832,679,735,682,2096
"47","02M475","STUYVESANT HS",1510,2819,2648,20102011,41.3,3287,0,0.3,71.6,1.2,2.9,24.1,58.8,2010,2011,832,679,735,682,2096
"48","02M475","STUYVESANT HS",1510,2819,2648,20112012,30.3,3297,0,0.4,72.1,1.2,2.4,23.7,59.3,2011,2012,832,679,735,682,2096
"49","02M489","HS OF ECONOMICS & FINANCE",101,176,78,20092010,72.5,825,5.9,11.8,28.4,23.2,37.7,10.8,55.9,2009,2010,167,443,489,442,1374
"50","02M489","HS OF ECONOMICS & FINANCE",101,176,78,20102011,72.5,807,5.1,12.4,27.8,23.2,39.9,9.2,55,2010,2011,167,443,489,442,1374
"51","02M489","HS OF ECONOMICS & FINANCE",101,176,78,20112012,60.8,809,6.3,11.9,24.8,22.5,43.5,8.8,54.5,2011,2012,167,443,489,442,1374
"52","02M519","TALENT UNLIMITED",30,34,21,20092010,51.3,419,0.2,2.9,2.6,34.6,38.7,19.1,22.7,2009,2010,81,469,472,475,1416
"53","02M519","TALENT UNLIMITED",30,34,21,20112012,45.5,491,0.2,3.5,4.5,36,39.3,19.8,21.4,2011,2012,81,469,472,475,1416
"54","02M520","MURRY BERGTRAUM H.S.",118,157,76,20092010,72.5,2562,11.2,11.9,12.2,34.3,50.2,2.6,49,2009,2010,264,407,440,393,1240
"55","02M520","MURRY BERGTRAUM H.S.",118,157,76,20102011,68.4,2401,11.8,13.5,11.7,36.6,49,2.5,49.9,2010,2011,264,407,440,393,1240
