,DBN,SCHOOL NAME,avg_class_size,avg_largest_class,avg_smallest_class
91,03M479,Beacon High School,30.78333333,33.66666667,26.08333333
92,03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,31.30625,34.25,25.125
93,03M492,"High School for Law, Advocacy and Community Justice",23.41666667,28.77777778,18.55555556
94,03M494,High School of Arts and Technology,28.07142857,31.92857143,21.85714286
95,03M505,Edward A. Reynolds West Side High School,21.125,27.25,16.41666667
96,03M541,Manhattan / Hunter Science High School,21.6,26.42857143,16.92857143
97,03M859,Special Music School,13,13,13
98,03M860,Frederick Douglass Academy II Secondary School,21.89285714,25.57142857,18.14285714
99,04M050,P.S. 050 Vito Marcantonio,25,25,25
100,04M372,ESPERANZA PREPARATORY ACADEMY,25.5,26,25
101,04M409,Coalition School for Social Change,21.32,26.2,16.33333333
102,04M435,Manhattan Center for Science and Mathematics,31.06666667,34.11111111,24
103,04M495,Park East High School,19.04,22.6,15.06666667
104,04M555,Central Park East High School,25.16428571,28.28571429,20.71428571
105,04M610,Young Women's Leadership School,25.71176471,27.94117647,23
106,04M635,Academy of Environmental Science Secondary High School,26.17333333,29.26666667,23.13333333
107,04M680,"Heritage School, The",20.69285714,25.14285714,16.07142857
108,05M285,Harlem Renaissance High School,17.20833333,19.33333333,15.58333333
109,05M286,I.S. M286 Renaissance Military Leadership Academy,24.3,30,18
110,05M304,Mott Hall High School,25.64,31,19.86666667
111,05M362,Columbia Secondary School,25.36666667,25.83333333,24.5
112,05M367,Academy for Social Action: A College Board School,23.43076923,26.69230769,20
113,05M369,Urban Assembly School for the Performing Arts,24.23846154,27.38461538,21.30769231
114,05M469,Choir Academy of Harlem,22.55,26.375,18.5625
115,05M499,Frederick Douglass Academy,26.68125,31.625,19.6875
116,05M670,Thurgood Marshall Academy for Learning and Social Change,22.99333333,26.06666667,20.33333333
117,05M685,Bread & Roses Integrated Arts High School,22.81333333,27.06666667,18
118,05M692,"High School for Mathematics, Science and Engineering at City College",21.68125,25.625,17.4375
119,06M052,J.H.S. 052 Inwood,29.25,30,28.5
120,06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,23,23,23
121,06M293,City College Academy of the Arts,23.63571429,27.57142857,18.78571429
122,06M324,M.S. 324 - Patria Mirabal,19,22,17
123,06M326,M.S. 326 - Writers Today & Leaders Tomorrow,26,26,26
124,06M328,M.S. 328 - Manhattan Middle School for Scientific Inquiry,24.9,29,21
125,06M346,Community Health Academy of the Heights,27.06923077,31.38461538,22.76923077
126,06M348,Washington Heights Expeditionary Learning School,28.06,31.5,23.7
127,06M423,High School for Excellence and Innovation,17,18,16
128,06M462,High School for International Business and Finance,26.0375,30.5,20.5625
129,06M463,High School for Media and Communications,23.36875,28.6875,17.5625
130,06M467,High School for Law and Public Service,24.96666667,31,19.05555556
131,06M468,High School for Health Careers and Sciences,27.63125,31.3125,22.4375
132,06M528,I.S. 528 Bea Fuller Rodgers School,29.9,31,28.5
133,06M540,A. Philip Randolph Campus High School,30.04210526,32.68421053,23.84210526
134,06M552,Gregorio Luperon High School for Science and Mathematics,25.43076923,29.53846154,20.84615385
135,07X162,J.H.S. 162 Lola Rodriguez De Tio,30,30,30
136,07X203,M.S. 203,15,15,15
137,07X221,South Bronx Preparatory: A College Board School,21.38666667,25.26666667,17.33333333
138,07X223,M.S. 223 The Laboratory School of Finance and Technology,29,29,29
139,07X298,Academy of Public Relations,21.4,27,15
140,07X321,Crotona Academy High School,18.14166667,22,14.75
141,07X334,International Community High School,16.2,19.5,12.35714286
142,07X379,Jill Chaifetz Transfer High School,23.81538462,25.61538462,21.84615385
143,07X427,Community School for Social Justice,22.64375,24.5,19.875
144,07X473,Mott Haven Village Preparatory High School,24.34285714,27,21.35714286
145,07X495,University Heights Secondary School,26.88571429,30.14285714,22.07142857
146,07X500,Hostos-Lincoln Academy of Science,21.35555556,24.16666667,18.77777778
147,07X520,Foreign Language Academy of Global Studies,23.2125,27,19.3125
148,07X527,Bronx Leadership Academy II High School,24.40666667,27.2,20.4
149,07X547,New Explorers High School,24.15454545,25.72727273,22.18181818
150,07X548,Urban Assembly School for Careers in Sports,25.53888889,28.27777778,22.66666667
151,07X551,Bronx Academy of Letters,23.12,28.53333333,17.73333333
152,07X600,Alfred E. Smith Career and Technical Education High School,27.3,33.07142857,18.92857143
153,07X655,Samuel Gompers Career and Technical Education High School,23.62941176,28.41176471,17.05882353
154,07X670,Health Opportunities High School,25.73333333,30.66666667,19.13333333
155,08X125,J.H.S. 125 Henry Hudson,24,29,16
156,08X131,J.H.S. 131 Albert Einstein,31.7,33,31
157,08X269,Bronx Studio School for Writers and Artists,27.22857143,30.28571429,24.28571429
158,08X282,Women's Academy of Excellence,22,25.66666667,18.13333333
159,08X293,Renaissance High School for Musical Theater & Technology,25.82666667,30.66666667,19.86666667
160,08X295,Gateway School for Environmental Research and Technology,21.7,27.47058824,15.52941176
161,08X301,M.S. 301 Paul L. Dunbar,26,29,21
162,08X305,Pablo Neruda Academy for Architecture and World Studies,19.67692308,22.53846154,16.69230769
163,08X312,Millennium Art Academy,28.15714286,32,22.42857143
164,08X332,Holcombe L. Rucker School of Community Research,19.68823529,22.94117647,16.23529412
165,08X376,"Antonia Pantoja Preparatory Academy, A College Board School",23.5,24,23
166,08X405,Herbert H. Lehman High School,27.48421053,32.94736842,15.42105263
167,08X432,BRONX BRIDGES HIGH SCHOOL,19.08,21,17.2
168,08X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",24.01875,28.9375,19.4375
169,08X530,Banana Kelly High School,25.28461538,30,20.53846154
170,08X540,School for Community Research and Learning,18.5,22.13333333,15.4
171,08X560,High School X560 - Bronx Academy High School,27.58333333,30.08333333,23.58333333
172,08X650,Jane Addams High School for Academic Careers,24.48333333,30.25,16.66666667
173,09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,26.7,28,24
174,09X219,I.S. 219 New Venture School,25.35,32,14.5
175,09X227,Bronx Expeditionary Learning High School,22.71428571,28.35714286,17.35714286
176,09X231,Eagle Academy for Young Men,25.47333333,30.33333333,19.86666667
177,09X232,I.S. 232,25.3,31,16
178,09X239,"Urban Assembly Academy for History and Citizenship for Young Men, The",21.25294118,23.23529412,19.29411765
179,09X241,"Urban Assembly School for Applied Math and Science, The",21.52941176,25,17.82352941
180,09X250,Eximius College Preparatory Academy: A College Board School,24.60769231,29.38461538,20.38461538
181,09X252,Mott Hall Bronx High School,27.71428571,31.85714286,23.85714286
182,09X260,Bronx Center for Science and Mathematics,22.67058824,28.82352941,16.35294118
183,09X263,Validus Preparatory Academy: An Expeditionary Learning School,26.28571429,29.14285714,22.78571429
184,09X276,Leadership Institute,22.1,25.70588235,18
185,09X297,Morris Academy for Collaborative Studies,22.84666667,27.66666667,18
186,09X303,I.S. X303 Leadership & Community Service,19,19,19
187,09X313,I.S. 313 School of Leadership Development,27.05,32,24
188,09X324,Bronx Early College Academy for Teaching & Learning,27.9625,30,26
189,09X325,Urban Science Academy,25,26,24
190,09X327,Comprehensive Model School Project M.S. 327,25.3,29,22
191,09X329,DreamYard Preparatory School,22.88571429,28.78571429,15.85714286
192,09X365,Academy for Language and Technology,23.71428571,28,18.35714286
193,09X403,Bronx International High School,15.61111111,22,12.44444444
194,09X404,School for Excellence,24.3,30.2,20.9
195,09X412,Bronx High School of Business,23.18461538,29.30769231,17.23076923
196,09X413,Bronx High School for Medical Science,26.03571429,30.35714286,21.5
197,09X414,Jonathan Levin High School for Media and Communications,24.69090909,29.72727273,19.18181818
198,09X505,"Bronx School for Law, Government and Justice",27.76666667,31.33333333,23.14285714
199,09X517,Frederick Douglass Academy III Secondary School,22.95625,27.5,17.5625
200,09X525,Bronx Leadership Academy High School,26.86875,30.6875,22.8125
201,09X543,High School for Violin and Dance,22.5,24.5,20.625
202,10X080,J.H.S. 080 The Mosholu Parkway,25,25,25
203,10X095,P.S. 095 Sheila Mencher,25.4,29,19
204,10X118,J.H.S. 118 William W. Niles,28.1,31,27
205,10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),26.79411765,30.70588235,21.35294118
206,10X206,I.S. 206 Ann Mersereau,27,32,21
207,10X213,Bronx Engineering and Technology Academy,22.02307692,25.76923077,18.69230769
208,10X225,Theatre Arts Production Company School,25.04,26.73333333,23.26666667
209,10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions",25.8125,32.0625,19.875
210,10X243,West Bronx Academy for the Future,25.04285714,27.92857143,21.35714286
211,10X244,The New School for Leadership and Journalism,23.025,24.5,21.5
212,10X254,I.S. 254,27.7,34,23
213,10X268,Kingsbridge International High School,29.62857143,32.42857143,27
214,10X284,Bronx School of Law and Finance,23.35882353,28.94117647,16.76470588
215,10X315,P.S. 315 Lab School,22,24,20
216,10X319,Providing Urban Learners Success In Education High School,16.95714286,22,14.57142857
217,10X342,International School for Liberal Arts,23.72307692,28.76923077,16.61538462
218,10X368,In-Tech Academy (M.S. / High School 368),26.26666667,30.6,20.13333333
219,10X374,Knowledge and Power Preparatory Academy International High School (Kappa),22.75,28.44444444,17.11111111
