,DBN,SchoolName,AP Test Takers,Total Exams Taken,Number of Exams with scores 3 4 or 5,exams_per_student,high_score_percent
175,18K500,CANARSIE HS,11,14,NA,1.272727273,NA
176,19K409,EAST NEW YORK FAMILY ACADEMY,NA,NA,NA,NA,NA
177,19K420,FRANKLIN K LANE HIGH SCHOOL,10,10,NA,1,NA
178,19K504,High School for Civil Rights,12,18,NA,1.5,NA
179,19K507,Performing Arts and Technology High School,NA,NA,NA,NA,NA
180,19K510,World Academy for Total Community Health High Scho,22,22,NA,1,NA
181,19K583,Multicultural High School,44,44,39,1,88.63636364
182,19K615,ENY-TRANSIT TECH HS,138,164,18,1.188405797,10.97560976
183,19K659,Cypress Hills Collegiate Preparatory School,21,21,10,1,47.61904762
184,19K660,WM H MAXWELL VHS,46,46,NA,1,NA
185,20K445,NEW UTRECHT HS,174,271,95,1.557471264,35.05535055
186,20K485,HS OF TELECOMMUNICATIONS,251,413,123,1.645418327,29.78208232
187,20K490,FORT HAMILTON HS,357,576,331,1.613445378,57.46527778
188,20K505,F.D. ROOSEVELT HS,228,340,186,1.49122807,54.70588235
189,21K344,Rachel Carson High School for Coastal Studies,34,64,NA,1.882352941,NA
190,21K348,High School of Sports Management,10,10,NA,1,NA
191,21K400,LAFAYETTE HS,NA,NA,NA,NA,NA
192,21K410,ABRAHAM LINCOLN HS,133,193,18,1.45112782,9.32642487
193,21K525,EDWARD R MURROW HS,397,577,307,1.453400504,53.20623917
194,21K540,JOHN DEWEY H.S.,232,370,154,1.594827586,41.62162162
195,21K690,BROOKLYN STUDIO SCHOOL,39,43,13,1.102564103,30.23255814
196,22K405,MIDWOOD HS,745,1223,758,1.641610738,61.9787408
197,22K425,JAMES MADISON HS,323,463,188,1.433436533,40.60475162
198,22K495,SHEEPSHEAD BAY HS,37,59,27,1.594594595,45.76271186
199,22K535,LEON GOLDSTEIN HS SCIENCES,367,575,382,1.566757493,66.43478261
200,23K493,Brooklyn Collegiate: A College Board School,15,16,NA,1.066666667,NA
201,23K514,Frederick Douglass Academy VII High School,39,40,NA,1.025641026,NA
202,23K697,TEACHERS PREPARATORY SCHOOL,33,37,NA,1.121212121,NA
203,24Q264,Academy of Finance and  Enterprise,95,137,40,1.442105263,29.19708029
204,24Q267,High School of Applied Communication,46,48,NA,1.043478261,NA
205,24Q455,NEWTOWN HS,174,200,117,1.149425287,58.5
206,24Q485,GROVER CLEVELAND HS,200,274,112,1.37,40.87591241
207,24Q550,HIGH SCHOOL FOR ARTS & BUSINESS,198,320,73,1.616161616,22.8125
208,24Q600,QUEENS VHS,27,27,20,1,74.07407407
