"","DBN","School_Name","Num of SAT Test Takers","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","avg_sat_score","schoolyear","frl_percent","total_enrollment","ell_percent","sped_percent","asian_per","black_per","hispanic_per","white_per","male_per","Borough","lat_long","lat","long"
"607","05M367","ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL",33,354,366,342,1062,20082009,NA,316,8.9,18.4,0.3,62.3,36.4,0.6,46.2,"Manhattan","(40.815230365, -73.955201206)",40.815230365,-73.955201206
"608","05M367","ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL",33,354,366,342,1062,20092010,74,397,9.1,18.9,0.5,61.7,37,0.3,44.8,"Manhattan","(40.815230365, -73.955201206)",40.815230365,-73.955201206
"609","05M367","ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL",33,354,366,342,1062,20102011,80.3,423,8.3,21.7,0.7,63.6,35.7,0,46.8,"Manhattan","(40.815230365, -73.955201206)",40.815230365,-73.955201206
"610","05M367","ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL",33,354,366,342,1062,20112012,67,425,9.9,21.6,0.5,61.4,38.1,0,48.7,"Manhattan","(40.815230365, -73.955201206)",40.815230365,-73.955201206
"611","05M369","URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS",56,360,353,364,1077,20072008,NA,148,2.7,8.8,0.7,51.4,40.5,0,18.2,"Manhattan","(40.815230365, -73.955201206)",40.815230365,-73.955201206
"612","05M369","URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS",56,360,353,364,1077,20082009,NA,218,1.8,12.8,0.5,62.4,35.3,0.9,18.8,"Manhattan","(40.815230365, -73.955201206)",40.815230365,-73.955201206
"613","05M369","URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS",56,360,353,364,1077,20092010,91.7,331,3.6,11.5,0.6,59.2,36.9,1.5,22.1,"Manhattan","(40.815230365, -73.955201206)",40.815230365,-73.955201206
"614","05M369","URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS",56,360,353,364,1077,20102011,83.1,348,4.6,15.5,0.9,58.6,38.8,1.1,20.7,"Manhattan","(40.815230365, -73.955201206)",40.815230365,-73.955201206
"615","05M369","URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS",56,360,353,364,1077,20112012,77.7,374,6.1,16.6,0.5,59.1,38.2,0.8,25.4,"Manhattan","(40.815230365, -73.955201206)",40.815230365,-73.955201206
"616","05M469","CHOIR ACADEMY OF HARLEM",20,354,360,385,1099,20052006,NA,619,1.1,5.2,0.3,80,15.8,1.1,35.4,NA,NA,NA,NA
"617","05M469","CHOIR ACADEMY OF HARLEM",20,354,360,385,1099,20062007,NA,485,1,5.6,0.2,79.2,17.3,1.2,34.8,NA,NA,NA,NA
"618","05M469","CHOIR ACADEMY OF HARLEM",20,354,360,385,1099,20072008,NA,426,1.9,9.2,0,78.9,19.5,0.7,34.5,NA,NA,NA,NA
"619","05M469","CHOIR ACADEMY OF HARLEM",20,354,360,385,1099,20082009,NA,387,3.6,12.1,0,76.7,21.7,0.5,34.6,NA,NA,NA,NA
"620","05M469","CHOIR ACADEMY OF HARLEM",20,354,360,385,1099,20092010,79.3,417,3.6,13.7,0,78.7,20.1,0.2,38.6,NA,NA,NA,NA
"621","05M469","CHOIR ACADEMY OF HARLEM",20,354,360,385,1099,20102011,91.7,333,3.3,14.1,0,76,22.5,0.6,37.2,NA,NA,NA,NA
"622","05M469","CHOIR ACADEMY OF HARLEM",20,354,360,385,1099,20112012,81.9,347,2,13.3,0.3,76.1,22.5,0.6,39.8,NA,NA,NA,NA
"623","05M499","FREDERICK DOUGLASS ACADEMY",214,458,474,442,1374,20052006,NA,1387,0.9,5.2,0.9,71,24.2,1.3,47.3,"Manhattan","(40.824308385, -73.936979613)",40.824308385,-73.936979613
"624","05M499","FREDERICK DOUGLASS ACADEMY",214,458,474,442,1374,20062007,NA,1504,0.6,5.1,0.8,72,26.7,0.4,48.5,"Manhattan","(40.824308385, -73.936979613)",40.824308385,-73.936979613
"625","05M499","FREDERICK DOUGLASS ACADEMY",214,458,474,442,1374,20072008,NA,1417,1,5,1.1,71.9,26.3,0.6,49.3,"Manhattan","(40.824308385, -73.936979613)",40.824308385,-73.936979613
"626","05M499","FREDERICK DOUGLASS ACADEMY",214,458,474,442,1374,20082009,NA,1520,1,5.5,1.4,73.4,24.5,0.5,48.7,"Manhattan","(40.824308385, -73.936979613)",40.824308385,-73.936979613
"627","05M499","FREDERICK DOUGLASS ACADEMY",214,458,474,442,1374,20092010,71.8,1596,1.2,6.9,1.3,72.6,24.2,0.7,48.2,"Manhattan","(40.824308385, -73.936979613)",40.824308385,-73.936979613
"628","05M499","FREDERICK DOUGLASS ACADEMY",214,458,474,442,1374,20102011,67,1543,1.6,6.6,1.1,75,22.9,0.9,49.4,"Manhattan","(40.824308385, -73.936979613)",40.824308385,-73.936979613
"629","05M499","FREDERICK DOUGLASS ACADEMY",214,458,474,442,1374,20112012,57.6,1556,2.4,8.9,1.2,74.4,22.8,1.3,52.2,"Manhattan","(40.824308385, -73.936979613)",40.824308385,-73.936979613
"630","05M670","THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE",66,396,402,404,1202,20052006,NA,536,1.3,6.7,0.7,76.3,20.9,0.4,43.8,"Manhattan","(40.815364829, -73.94389671)",40.815364829,-73.94389671
"631","05M670","THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE",66,396,402,404,1202,20062007,NA,579,0.5,7.6,1.4,74.4,22.5,0.9,45.3,"Manhattan","(40.815364829, -73.94389671)",40.815364829,-73.94389671
"632","05M670","THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE",66,396,402,404,1202,20072008,NA,576,1.6,8.9,1,72.7,24.7,0.9,46.5,"Manhattan","(40.815364829, -73.94389671)",40.815364829,-73.94389671
"633","05M670","THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE",66,396,402,404,1202,20082009,NA,583,2.1,9.6,1.5,71,26.1,0.9,46.1,"Manhattan","(40.815364829, -73.94389671)",40.815364829,-73.94389671
"634","05M670","THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE",66,396,402,404,1202,20092010,73.5,570,1.8,10.5,1.4,70.9,25.6,0.7,45.3,"Manhattan","(40.815364829, -73.94389671)",40.815364829,-73.94389671
"635","05M670","THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE",66,396,402,404,1202,20102011,77.1,580,2.2,11.2,0.2,76.2,22.6,0.3,44.8,"Manhattan","(40.815364829, -73.94389671)",40.815364829,-73.94389671
"636","05M670","THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE",66,396,402,404,1202,20112012,65.1,580,1.4,10,0.2,78.1,20.9,0.2,44.1,"Manhattan","(40.815364829, -73.94389671)",40.815364829,-73.94389671
"637","05M685","BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL",61,369,361,355,1085,20052006,NA,488,9.4,16.6,0.4,51.8,45.9,0.6,49.6,NA,NA,NA,NA
"638","05M685","BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL",61,369,361,355,1085,20062007,NA,527,11,19.4,0.4,50.3,47.2,0.8,49.7,NA,NA,NA,NA
"639","05M685","BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL",61,369,361,355,1085,20072008,NA,544,12.5,17.5,0.4,49.8,46.9,0.4,52.4,NA,NA,NA,NA
"640","05M685","BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL",61,369,361,355,1085,20082009,NA,526,12,17.7,0.4,50.8,48.1,0.4,47.9,NA,NA,NA,NA
"641","05M685","BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL",61,369,361,355,1085,20092010,60,512,13.9,17,0.6,51.8,46.3,0.6,46.7,NA,NA,NA,NA
"642","05M685","BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL",61,369,361,355,1085,20102011,70.9,518,15.6,17.6,0.6,53.9,44.4,0.6,46.5,NA,NA,NA,NA
"643","05M685","BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL",61,369,361,355,1085,20112012,71.8,524,17.6,21,0.4,53.2,45.4,0.6,48.9,NA,NA,NA,NA
"644","05M692","HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,588,1847,20052006,NA,403,NA,0.7,25.1,18.9,26.6,24.1,63.8,"Manhattan","(40.821123112, -73.948845244)",40.821123112,-73.948845244
"645","05M692","HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,588,1847,20062007,NA,440,NA,1.1,24.8,14.5,31.4,22.3,62.3,"Manhattan","(40.821123112, -73.948845244)",40.821123112,-73.948845244
"646","05M692","HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,588,1847,20072008,NA,471,0.4,0.8,25.7,17,29.9,22.3,61.1,"Manhattan","(40.821123112, -73.948845244)",40.821123112,-73.948845244
"647","05M692","HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,588,1847,20082009,NA,449,0.4,1.3,25.8,16.9,29.8,20.9,64.1,"Manhattan","(40.821123112, -73.948845244)",40.821123112,-73.948845244
"648","05M692","HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,588,1847,20092010,14.9,424,NA,1.7,24.5,16,27.6,22.9,62.3,"Manhattan","(40.821123112, -73.948845244)",40.821123112,-73.948845244
"649","05M692","HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,588,1847,20102011,31.8,407,NA,1.2,31,18.4,24.3,24.8,65.6,"Manhattan","(40.821123112, -73.948845244)",40.821123112,-73.948845244
"650","05M692","HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,588,1847,20112012,18.5,406,0,0,36.2,15,21.2,26.1,65.8,"Manhattan","(40.821123112, -73.948845244)",40.821123112,-73.948845244
"651","06M293","CITY COLLEGE ACADEMY OF THE ARTS",60,408,446,416,1270,20082009,NA,327,12.8,18.3,1.8,4.6,92.4,1.2,44.3,"Manhattan","(40.861113319, -73.930452149)",40.861113319,-73.930452149
"652","06M293","CITY COLLEGE ACADEMY OF THE ARTS",60,408,446,416,1270,20092010,85,414,11.1,17.9,1.4,6.3,90.8,1.4,41.3,"Manhattan","(40.861113319, -73.930452149)",40.861113319,-73.930452149
"653","06M293","CITY COLLEGE ACADEMY OF THE ARTS",60,408,446,416,1270,20102011,85.3,513,9.2,15.4,1,6,91.2,1.6,40.2,"Manhattan","(40.861113319, -73.930452149)",40.861113319,-73.930452149
"654","06M293","CITY COLLEGE ACADEMY OF THE ARTS",60,408,446,416,1270,20112012,71.6,586,6.1,13.1,0.7,6,92,1.2,39.6,"Manhattan","(40.861113319, -73.930452149)",40.861113319,-73.930452149
"655","06M346","COMMUNITY HEALTH ACADEMY OF THE HEIGHTS",55,362,376,367,1105,20082009,NA,343,22.4,17.2,0,6.1,93.3,0.6,50.7,"Manhattan","(40.833555219, -73.941804212)",40.833555219,-73.941804212
"656","06M346","COMMUNITY HEALTH ACADEMY OF THE HEIGHTS",55,362,376,367,1105,20092010,86.5,432,29.6,20.6,0,5.3,93.8,0.5,53.7,"Manhattan","(40.833555219, -73.941804212)",40.833555219,-73.941804212
"657","06M346","COMMUNITY HEALTH ACADEMY OF THE HEIGHTS",55,362,376,367,1105,20102011,84.9,458,29.9,19.2,0.2,7.2,92.1,0.2,51.3,"Manhattan","(40.833555219, -73.941804212)",40.833555219,-73.941804212
"658","06M346","COMMUNITY HEALTH ACADEMY OF THE HEIGHTS",55,362,376,367,1105,20112012,78.8,520,30,17.3,0.2,5.2,93.8,0.8,52.3,"Manhattan","(40.833555219, -73.941804212)",40.833555219,-73.941804212
"659","06M348","WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL",70,380,395,399,1174,20082009,NA,331,20.2,16,0,1.5,97.6,0.6,55,"Manhattan","(40.848878788, -73.930806517)",40.848878788,-73.930806517
"660","06M348","WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL",70,380,395,399,1174,20092010,90.6,427,23.7,18.3,0,2.1,97.4,0.2,54.8,"Manhattan","(40.848878788, -73.930806517)",40.848878788,-73.930806517
"661","06M348","WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL",70,380,395,399,1174,20102011,94.8,524,21.8,18.5,0,2.1,97.1,0,55.5,"Manhattan","(40.848878788, -73.930806517)",40.848878788,-73.930806517
"662","06M348","WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL",70,380,395,399,1174,20112012,87.5,602,19.6,18.1,0,2.3,96.7,0.3,55.8,"Manhattan","(40.848878788, -73.930806517)",40.848878788,-73.930806517
"663","06M423","HIGH SCHOOL FOR EXCELLENCE AND INNOVATION",NA,NA,NA,NA,NA,20092010,60,83,18.1,41,0,33.7,65.1,0,53,"Manhattan","(40.866045549, -73.924856642)",40.866045549,-73.924856642
"664","06M423","HIGH SCHOOL FOR EXCELLENCE AND INNOVATION",NA,NA,NA,NA,NA,20102011,97.6,134,21.6,43.3,0,23.9,75.4,0,56,"Manhattan","(40.866045549, -73.924856642)",40.866045549,-73.924856642
"665","06M423","HIGH SCHOOL FOR EXCELLENCE AND INNOVATION",NA,NA,NA,NA,NA,20112012,99.2,178,19.7,34.3,0,25.8,72.5,0,52.8,"Manhattan","(40.866045549, -73.924856642)",40.866045549,-73.924856642
"666","06M457","GEORGE WASHINGTON YABC",7,394,357,346,1097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"667","06M462","HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE",76,365,384,378,1127,20052006,NA,678,28,12.1,0.4,7.8,90.4,0.6,57.1,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"668","06M462","HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE",76,365,384,378,1127,20062007,NA,720,28.1,14.4,0.3,6.1,91.7,0.6,57.5,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"669","06M462","HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE",76,365,384,378,1127,20072008,NA,688,42.2,10.2,0.6,6,92.2,0.9,57.7,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"670","06M462","HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE",76,365,384,378,1127,20082009,NA,678,33.2,11.2,0.4,7.7,90.4,1,57.2,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"671","06M462","HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE",76,365,384,378,1127,20092010,91.6,666,35.6,12.8,0.6,7.4,89.9,1.1,58.1,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"672","06M462","HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE",76,365,384,378,1127,20102011,92.3,644,38.5,15.1,0.3,5.6,90.7,1.4,60.1,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"673","06M462","HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE",76,365,384,378,1127,20112012,89.3,630,43,13.7,0.5,5.2,91.4,1.4,63.8,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"674","06M463","HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS",63,369,380,349,1098,20052006,NA,601,27.3,10.1,0.5,5.3,92.8,0.2,55.7,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"675","06M463","HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS",63,369,380,349,1098,20062007,NA,625,25.3,10.9,0.5,5.8,92.6,0.2,58.4,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"676","06M463","HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS",63,369,380,349,1098,20072008,NA,662,31,9.7,0.6,5.3,93.2,0,57.7,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"677","06M463","HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS",63,369,380,349,1098,20082009,NA,639,25,9.5,0.5,5.6,93.6,0.2,60.9,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"678","06M463","HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS",63,369,380,349,1098,20092010,80.7,620,25.6,10.3,0.6,6.1,92.3,0.3,60.6,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"679","06M463","HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS",63,369,380,349,1098,20102011,81.9,563,27.4,13.7,0.9,7.1,90.9,0.7,62.2,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"680","06M463","HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS",63,369,380,349,1098,20112012,83.8,572,26.9,17,1,10.7,87.1,0.5,63.5,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"681","06M467","HIGH SCHOOL FOR LAW AND PUBLIC SERVICE",94,363,378,361,1102,20052006,NA,598,22.7,7,0.5,6,92.6,0.5,51.7,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"682","06M467","HIGH SCHOOL FOR LAW AND PUBLIC SERVICE",94,363,378,361,1102,20062007,NA,633,23.5,10.3,0.5,4.7,94,0.6,52,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"683","06M467","HIGH SCHOOL FOR LAW AND PUBLIC SERVICE",94,363,378,361,1102,20072008,NA,660,26.4,10.6,0.6,4.8,93.5,0.9,48.8,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"684","06M467","HIGH SCHOOL FOR LAW AND PUBLIC SERVICE",94,363,378,361,1102,20082009,NA,689,23.1,11.5,0.7,8.3,89.8,1.2,50.8,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"685","06M467","HIGH SCHOOL FOR LAW AND PUBLIC SERVICE",94,363,378,361,1102,20092010,66,678,24.8,13.6,0.3,10.3,88.3,1,52.7,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"686","06M467","HIGH SCHOOL FOR LAW AND PUBLIC SERVICE",94,363,378,361,1102,20102011,70.3,665,28.6,15.3,0.8,12.9,85.3,1.1,53.8,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"687","06M467","HIGH SCHOOL FOR LAW AND PUBLIC SERVICE",94,363,378,361,1102,20112012,72.5,694,32,16.7,1,13,84.4,1.3,58.6,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"688","06M468","HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES",24,400,422,402,1224,20052006,NA,595,29.9,11.6,0.8,5.2,92.9,0.2,52.4,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"689","06M468","HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES",24,400,422,402,1224,20062007,NA,655,22.7,13.3,0.5,6.4,91.9,0.6,51.8,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"690","06M468","HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES",24,400,422,402,1224,20072008,NA,671,29.1,13.1,0.6,8.2,89.4,1,50.4,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"691","06M468","HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES",24,400,422,402,1224,20082009,NA,670,29.1,11.3,0.3,7.5,91.2,0.9,49,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"692","06M468","HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES",24,400,422,402,1224,20092010,88.4,658,30.4,12.3,1.1,8.7,89.4,0.9,51.2,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"693","06M468","HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES",24,400,422,402,1224,20102011,87.9,711,32.8,12.2,1,9.1,88.5,1.1,51.3,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"694","06M468","HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES",24,400,422,402,1224,20112012,90.7,679,31.2,13.8,0.7,13.7,83.8,1,52.7,"Manhattan","(40.855938307, -73.927029634)",40.855938307,-73.927029634
"695","06M540","A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL",228,430,456,423,1309,20052006,NA,1628,5.4,7.5,2.6,33.9,59.8,0.9,44.1,"Manhattan","(40.818321269, -73.950613828)",40.818321269,-73.950613828
"696","06M540","A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL",228,430,456,423,1309,20062007,NA,1541,2.9,7.2,3,31.4,62,0.8,44.9,"Manhattan","(40.818321269, -73.950613828)",40.818321269,-73.950613828
"697","06M540","A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL",228,430,456,423,1309,20072008,NA,1496,3.4,6.6,3.2,32.5,61.3,0.5,47,"Manhattan","(40.818321269, -73.950613828)",40.818321269,-73.950613828
"698","06M540","A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL",228,430,456,423,1309,20082009,NA,1370,2.5,6.5,3.4,33.7,62,0.5,46.9,"Manhattan","(40.818321269, -73.950613828)",40.818321269,-73.950613828
"699","06M540","A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL",228,430,456,423,1309,20092010,74.7,1473,2.4,6.2,3.1,33.7,62.3,0.5,49.8,"Manhattan","(40.818321269, -73.950613828)",40.818321269,-73.950613828
"700","06M540","A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL",228,430,456,423,1309,20102011,76.2,1492,2.5,5.2,2.9,33.4,63,0.5,49.5,"Manhattan","(40.818321269, -73.950613828)",40.818321269,-73.950613828
"701","06M540","A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL",228,430,456,423,1309,20112012,76.3,1285,2.3,5.5,4,32.8,62.3,0.7,49.9,"Manhattan","(40.818321269, -73.950613828)",40.818321269,-73.950613828
"702","06M552","GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS",56,339,349,326,1014,20052006,NA,409,62.3,0.5,0,0.2,99.8,0,42.1,"Manhattan","(40.838032322, -73.938371018)",40.838032322,-73.938371018
"703","06M552","GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS",56,339,349,326,1014,20062007,NA,415,46.7,0.2,0,0,100,0,46.3,"Manhattan","(40.838032322, -73.938371018)",40.838032322,-73.938371018
"704","06M552","GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS",56,339,349,326,1014,20072008,NA,419,76.1,0,0,0,100,0,46.5,"Manhattan","(40.838032322, -73.938371018)",40.838032322,-73.938371018
"705","06M552","GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS",56,339,349,326,1014,20082009,NA,409,87.3,0,0,0,100,0,44.3,"Manhattan","(40.838032322, -73.938371018)",40.838032322,-73.938371018
"706","06M552","GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS",56,339,349,326,1014,20092010,97.5,486,82.3,0,0,0,100,0,48.4,"Manhattan","(40.838032322, -73.938371018)",40.838032322,-73.938371018
"707","06M552","GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS",56,339,349,326,1014,20102011,97.3,477,91.6,0,0,0,100,0,48.8,"Manhattan","(40.838032322, -73.938371018)",40.838032322,-73.938371018
"708","06M552","GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS",56,339,349,326,1014,20112012,92.8,472,89.6,0,0,0,99.8,0,48.9,"Manhattan","(40.838032322, -73.938371018)",40.838032322,-73.938371018
"709","07X221","SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL",65,364,378,348,1090,20052006,NA,322,3.1,15.5,0.3,36.6,61.5,0.6,49.1,"Bronx","(40.814010816, -73.920836517)",40.814010816,-73.920836517
"710","07X221","SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL",65,364,378,348,1090,20062007,NA,508,3.3,17.1,1,34.1,63,0.4,46.1,"Bronx","(40.814010816, -73.920836517)",40.814010816,-73.920836517
"711","07X221","SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL",65,364,378,348,1090,20072008,NA,588,5.4,17.9,1,34,63.8,0.5,43.5,"Bronx","(40.814010816, -73.920836517)",40.814010816,-73.920836517
"712","07X221","SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL",65,364,378,348,1090,20082009,NA,590,6.1,18.5,1.2,33.9,63.7,0.7,46.1,"Bronx","(40.814010816, -73.920836517)",40.814010816,-73.920836517
"713","07X221","SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL",65,364,378,348,1090,20092010,81.1,577,8.5,18,1,31.2,67.1,0.3,44.9,"Bronx","(40.814010816, -73.920836517)",40.814010816,-73.920836517
"714","07X221","SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL",65,364,378,348,1090,20102011,81.1,588,8.3,18,1,30.4,68,0.3,47.4,"Bronx","(40.814010816, -73.920836517)",40.814010816,-73.920836517
"715","07X221","SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL",65,364,378,348,1090,20112012,72.9,622,8.8,19.3,0.6,29.9,68.8,0.5,47.4,"Bronx","(40.814010816, -73.920836517)",40.814010816,-73.920836517
"716","07X321","CROTONA ACADEMY HIGH SCHOOL",9,379,364,382,1125,20052006,NA,147,4.1,6.1,0,44.9,53.7,1.4,41.5,NA,NA,NA,NA
"717","07X321","CROTONA ACADEMY HIGH SCHOOL",9,379,364,382,1125,20062007,NA,130,5.4,8.5,0,47.7,52.3,0,36.9,NA,NA,NA,NA
"718","07X321","CROTONA ACADEMY HIGH SCHOOL",9,379,364,382,1125,20072008,NA,138,7.2,6.5,0.7,42,57.2,0,33.3,NA,NA,NA,NA
"719","07X321","CROTONA ACADEMY HIGH SCHOOL",9,379,364,382,1125,20082009,NA,146,6.8,8.2,2.7,44.5,52.1,0.7,37,NA,NA,NA,NA
"720","07X321","CROTONA ACADEMY HIGH SCHOOL",9,379,364,382,1125,20092010,74.6,137,6.6,6.6,2.9,46.7,48.9,1.5,36.5,NA,NA,NA,NA
"721","07X321","CROTONA ACADEMY HIGH SCHOOL",9,379,364,382,1125,20102011,73.3,132,3,8.3,0.8,43.9,52.3,3,40.2,NA,NA,NA,NA
"722","07X321","CROTONA ACADEMY HIGH SCHOOL",9,379,364,382,1125,20112012,78.3,124,2.4,6.5,0.8,42.7,54,0.8,31.5,NA,NA,NA,NA
"723","07X334","INTERNATIONAL COMMUNITY HIGH SCHOOL",34,310,324,311,945,20062007,NA,97,40.2,0,3.1,23.7,69.1,2.1,56.7,"Bronx","(40.810036192, -73.917812482)",40.810036192,-73.917812482
"724","07X334","INTERNATIONAL COMMUNITY HIGH SCHOOL",34,310,324,311,945,20072008,NA,187,74.3,2.7,4.8,24.1,66.3,4.3,56.7,"Bronx","(40.810036192, -73.917812482)",40.810036192,-73.917812482
"725","07X334","INTERNATIONAL COMMUNITY HIGH SCHOOL",34,310,324,311,945,20082009,NA,257,87.5,2.3,3.1,26.1,65,5.4,57.6,"Bronx","(40.810036192, -73.917812482)",40.810036192,-73.917812482
