"","DBN","School_Name","Num of SAT Test Takers","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","avg_sat_score","schoolyear","frl_percent","total_enrollment","ell_percent","sped_percent","asian_per","black_per","hispanic_per","white_per","male_per","Borough","lat_long","lat","long"
"27","01M509","MARTA VALLE HIGH SCHOOL",44,390,433,384,1207,20082009,NA,441,12.9,18.4,11.8,17.7,68.7,1.8,52.2,"Manhattan","(40.720569079, -73.985672691)",40.720569079,-73.985672691
"28","01M509","MARTA VALLE HIGH SCHOOL",44,390,433,384,1207,20092010,92.1,352,12.5,21.3,11.6,18.5,67.9,2,50.6,"Manhattan","(40.720569079, -73.985672691)",40.720569079,-73.985672691
"29","01M509","MARTA VALLE HIGH SCHOOL",44,390,433,384,1207,20102011,91,370,13.5,21.1,10.5,24.3,63.2,1.6,49.2,"Manhattan","(40.720569079, -73.985672691)",40.720569079,-73.985672691
"30","01M509","MARTA VALLE HIGH SCHOOL",44,390,433,384,1207,20112012,80.7,367,11.2,25.9,9.3,31.6,56.9,1.6,46.3,"Manhattan","(40.720569079, -73.985672691)",40.720569079,-73.985672691
"31","01M515","LOWER EAST SIDE PREPARATORY HIGH SCHOOL",112,332,557,316,1205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","01M539","NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,1621,20052006,NA,755,0.1,4.9,17.5,8.1,17.5,55.1,43.7,"Manhattan","(40.718725451, -73.979426386)",40.718725451,-73.979426386
"33","01M539","NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,1621,20062007,NA,879,0,4.6,20.7,7.3,15,56.8,44.7,"Manhattan","(40.718725451, -73.979426386)",40.718725451,-73.979426386
"34","01M539","NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,1621,20072008,NA,1063,0.5,4,22.4,9.7,15.3,51.8,46.2,"Manhattan","(40.718725451, -73.979426386)",40.718725451,-73.979426386
"35","01M539","NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,1621,20082009,NA,1302,0.2,3.8,21.8,11.2,16.6,49.4,48,"Manhattan","(40.718725451, -73.979426386)",40.718725451,-73.979426386
"36","01M539","NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,1621,20092010,19.6,1480,0.5,3.2,25.2,11.6,15.8,44.6,47.6,"Manhattan","(40.718725451, -73.979426386)",40.718725451,-73.979426386
"37","01M539","NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,1621,20102011,24.4,1583,0.4,2.8,26,12.1,15.2,45.8,48.4,"Manhattan","(40.718725451, -73.979426386)",40.718725451,-73.979426386
"38","01M539","NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,1621,20112012,23,1613,0.2,2.7,27.8,11.7,14.2,44.9,49.2,"Manhattan","(40.718725451, -73.979426386)",40.718725451,-73.979426386
"39","01M650","CASCADES HIGH SCHOOL",18,417,418,411,1246,20052006,NA,213,7,6.1,3.3,33.3,58.7,4.2,48.8,NA,NA,NA,NA
"40","01M650","CASCADES HIGH SCHOOL",18,417,418,411,1246,20062007,NA,211,4.7,4.3,5.2,36,55,3.8,47.4,NA,NA,NA,NA
"41","01M650","CASCADES HIGH SCHOOL",18,417,418,411,1246,20072008,NA,214,7.5,3.3,7.9,32.7,56.5,2.8,40.7,NA,NA,NA,NA
"42","01M650","CASCADES HIGH SCHOOL",18,417,418,411,1246,20082009,NA,215,6,5.1,4.2,33,56.7,5.6,34.4,NA,NA,NA,NA
"43","01M650","CASCADES HIGH SCHOOL",18,417,418,411,1246,20092010,76.6,226,4,3.1,3.5,39.4,52.7,3.1,38.5,NA,NA,NA,NA
